id,item_id,name,name_en,item_kind,slot,accessory_type,equip_level,weight,attack,defense,max_hp,max_mp,charm,agility,dexterity,magic_attack,healing_power,description,effects_json,synthesis_effects_json,obtain_methods_json,image_url,source_url,detail_url,created_at,updated_at
11,accessory_kao_11,ダークグラス,"Dark Glasses",accessory,顔アクセサリー,顔,,,,2,,,10,,,,,"幻惑の攻撃に とても強くなる おしゃれなグラス","[""幻惑ガード+70％""]","[""幻惑ガード+5%"", ""幻惑ガード+10%"", ""こうげき力+2"", ""さいだいHP+2""]","[""レグナライト20個で交換する""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-7.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-7.php,"2026-03-12 05:57:30","2026-05-04 17:56:53"
12,accessory_kao_12,ネレウスマスク,"Nereus Mask",accessory,顔アクセサリー,顔,,,,,4,,4,,,,,"大海に渦巻く 水の霊力が満ちた 毒に強いマスク","[""どくガード+50%""]","[""毒ガード+5%"", ""毒ガード+10%"", ""さいだいHP+2""]","[""レグナライト25個で交換する""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-8.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-8.php,"2026-03-12 05:57:32","2026-05-04 17:56:53"
13,accessory_kao_13,ダンディサングラス,"Aviator Sunglasses",accessory,顔アクセサリー,顔,,,,2,,,10,,,,,"幻惑に強くなる おしゃれな サングラス","[""幻惑ガード+50％""]","[""幻惑ガード+5%"", ""幻惑ガード+10%"", ""おしゃれさ+1"", ""おしゃれさ+2"", ""おしゃれさ+3"", ""おしゃれさ+4"", ""おしゃれさ+5""]","[""小さなメダル10枚で交換""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-26.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-26.php,"2026-03-12 05:57:34","2026-05-04 17:56:53"
14,accessory_kao_14,モノクル,Monocle,accessory,顔アクセサリー,顔,,,,2,,,4,,,,,"呪文暴走率高まる 金色のフレームの 片目用メガネ","[""呪文ぼうそう率+5.0%""]","[""こうげき魔力+1"", ""こうげき魔力+2"", ""かいふく魔力+1"", ""かいふく魔力+2"", ""呪文ぼうそう率+1%"", ""呪文ぼうそう率+2%""]","[""きめんどうしのレアドロ"", ""まかいしつじのレアドロ""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-9.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-9.php,"2026-03-12 05:57:36","2026-05-04 17:56:53"
15,accessory_kao_15,パーティーメガネ,"Stimulating Specs",accessory,顔アクセサリー,顔,,,,2,,,10,,,,,"開戦時たまに テンション上がる イケてるメガネ","[""開戦時10%でためる""]","[""しゅび力+1"", ""しゅび力+2"", ""おしゃれさ+1"", ""おしゃれさ+2"", ""戦闘開始時1%でためる"", ""戦闘開始時2%でためる""]","[""小さなメダル10枚で交換""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-10.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-10.php,"2026-03-12 05:57:39","2026-05-04 17:56:53"
16,accessory_kao_16,かいとうの仮面,"Mugger's Mask",accessory,顔アクセサリー,顔,,,,2,,,8,,30,,,"アイテムをぬすむ 成功率が上がる おしゃれなマスク",[],"[""しゅび力+1"", ""すばやさ+1"", ""きようさ+1"", ""おしゃれさ+1"", ""おしゃれさ+2""]","[""岳都ガタラの防具屋で買う(1200G)""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-11.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-11.php,"2026-03-12 05:57:41","2026-05-04 17:56:53"
17,accessory_kao_17,ねこひげ,"Cat Whiskers",accessory,顔アクセサリー,顔,,,,2,,,2,5,,,,"不意をつく確率と すばやさが上がる ねこっぽいひげ","[""不意をつく確率+2%""]","[""すばやさ+1"", ""すばやさ+2"", ""すばやさ+3"", ""すばやさ+4"", ""不意をつく確率+1%"", ""不意をつく確率+1.5%""]","[""ザ・キャッツの討伐報酬""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-12.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-12.php,"2026-03-12 05:57:44","2026-05-04 17:56:53"
18,accessory_kao_18,かいけつマスク,"Marveling Mask",accessory,顔アクセサリー,顔,,,,2,,,5,,,,,"夜の開戦時 時々テンションが 高まるマスク","[""夜開戦時20％でためる""]","[""きようさ+1"", ""きようさ+2"", ""おしゃれさ+1"", ""おしゃれさ+2"", ""夜の戦闘開始時に1%でためる"", ""夜の戦闘開始時に2%でためる""]","[""アスタロトのレアドロ""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-13.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-13.php,"2026-03-12 05:57:46","2026-05-04 17:56:53"
19,accessory_kao_19,ぐるぐるメガネ,"Safety Goggles",accessory,顔アクセサリー,顔,,,,2,,,,,,,,"魅了の攻撃に 強くなる ビン底メガネ","[""魅了ガード+50％""]","[""おしゃれさ+1"", ""おしゃれさ+2"", ""魅了ガード+5%"", ""魅了ガード+10%""]","[""小さなメダル10枚で交換""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-14.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-14.php,"2026-03-12 05:57:48","2026-05-04 17:56:53"
20,accessory_kao_20,マジカルメガネ,"Magical Glasses",accessory,顔アクセサリー,顔,,,,2,,,5,,,8,,"攻撃魔力を高める 神秘的なメガネ",[],"[""こうげき魔力+1"", ""こうげき魔力+2"", ""こうげき魔力+3"", ""さいだいMP+1""]","[""小さなメダル10枚で交換""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-15.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-15.php,"2026-03-12 05:57:50","2026-05-04 17:56:53"
21,accessory_kao_21,フワフワメガネ,"Fluffy Glasses",accessory,顔アクセサリー,顔,,,,2,,,,,,,,"かけると魔物が わたアメを落とす ラブリーなメガネ","[""まれに魔物がフワフワわたアメを落とす"", ""おしゃれ+6""]","[""合成できない""]","[""小さなメダル10枚で交換""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-16.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-16.php,"2026-03-12 05:57:52","2026-05-04 17:56:53"
22,accessory_kao_22,教授のメガネ,"Professor's Specs",accessory,顔アクセサリー,顔,,,,2,,5,2,,,5,5,"最大MPを高め 魔力も上がる おしゃれなメガネ",[],"[""さいだいMP+1"", ""さいだいMP+2"", ""しゅび力+1"", ""しゅび力+2"", ""こうげき魔力+1"", ""こうげき魔力+2"", ""こうげき魔力+3"", ""かいふく魔力+1"", ""かいふく魔力+2"", ""かいふく魔力+3""]","[""トルネコから購入(12000G)""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-17.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-17.php,"2026-03-12 05:57:54","2026-05-04 17:56:53"
23,accessory_kao_23,地中ゴーグル,"Subterranean Goggles",accessory,顔アクセサリー,顔,,,,2,,,2,,,,,"土の中に隠れた 魔物が見える 特殊なゴーグル","[""地中にいる魔物の姿が見える""]","[""しゅび力+1"", ""しゅび力+2"", ""おしゃれさ+1"", ""おしゃれさ+2"", ""おしゃれさ+3"", ""おしゃれさ+4""]","[""小さなメダル1枚で交換""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-18.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-18.php,"2026-03-12 05:57:56","2026-05-04 17:56:53"
24,accessory_kao_24,オカルトメガネ,"Occult Glasses",accessory,顔アクセサリー,顔,,,,2,,,3,,,,,"死者の世界の 魔物の姿が見える 不思議なメガネ","[""死者の世界の魔物の姿が見える""]","[""しゅび力+1"", ""しゅび力+2"", ""おしゃれさ+1"", ""おしゃれさ+2"", ""おしゃれさ+3"", ""おしゃれさ+4""]","[""小さなメダル1枚で交換""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-29.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-29.php,"2026-03-12 05:57:58","2026-05-04 17:56:53"
25,accessory_kao_25,いやしのメガネ,"X-Ray Specs",accessory,顔アクセサリー,顔,,,,2,,,5,,,,8,"回復魔力を高める おごそかなメガネ",[],"[""さいだいMP+1"", ""しゅび力+1"", ""しゅび力+2"", ""かいふく魔力+1"", ""かいふく魔力+2"", ""かいふく魔力+3"", ""おしゃれさ+2""]","[""小さなメダル10枚で交換""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-23.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-23.php,"2026-03-12 05:58:01","2026-05-04 17:56:53"
26,accessory_kao_26,ふちなしメガネ,"Borderless Specs",accessory,顔アクセサリー,顔,,,,2,,,3,,,4,4,"攻撃魔力と 回復魔力を高める ふちなしのメガネ",[],"[""しゅび力+1"", ""しゅび力+2"", ""こうげき魔力+1"", ""こうげき魔力+2"", ""こうげき魔力+3"", ""かいふく魔力+1"", ""かいふく魔力+2"", ""かいふく魔力+3"", ""おしゃれさ+1"", ""おしゃれさ+2""]","[""小さなメダル10枚で交換""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-28.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-28.php,"2026-03-12 05:58:03","2026-05-04 17:56:53"
27,accessory_kao_27,黒ぶちメガネ角,"Black Square Glasses",accessory,顔アクセサリー,顔,,,,2,,,3,,,,,"かけるとアタマが よさそうに見える 四角いメガネ",[],"[""しゅび力+1"", ""しゅび力+2"", ""おしゃれさ+1"", ""おしゃれさ+2"", ""おしゃれさ+3"", ""おしゃれさ+4""]","[""マッドスミスのレアドロ"", ""リビングデッドのレアドロ""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-30.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-30.php,"2026-03-12 05:58:04","2026-05-04 17:56:53"
28,accessory_kao_28,黒アイパッチ,"Black Eyepatch",accessory,顔アクセサリー,顔,,,,2,,,2,,,,,"開戦時 バイシオンが まれに発動する","[""開戦時5%でバイシオン""]","[""さいだいHP+1"", ""さいだいHP+2"", ""しゅび力+1"", ""しゅび力+2"", ""戦闘開始時に1%でバイシオン"", ""戦闘開始時に2%でバイシオン""]","[""アカツキショウグンのレアドロ"", ""デビルロードのレアドロ""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-25.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-25.php,"2026-03-12 05:58:06","2026-05-04 17:56:53"
29,accessory_kao_29,白アイパッチ,"White Eyepatch",accessory,顔アクセサリー,顔,,,,2,,,2,,,,,"開戦時 リホイミが たまに発動する","[""開戦時10%でリホイミ""]","[""さいだいHP+1"", ""さいだいHP+2"", ""しゅび力+1"", ""しゅび力+2"", ""戦闘開始時に1%でリホイミ"", ""戦闘開始時に2%でリホイミ""]","[""しろバラのきしのレアドロ"", ""プリティフライのレアドロ""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-27.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-27.php,"2026-03-12 05:58:08","2026-05-04 17:56:53"
30,accessory_kao_30,ファントムマスク,"Phantom Mask",accessory,顔アクセサリー,顔,,,,1,,,20,,,,,"正体を隠すため 身につける あやしいマスク",[],"[""すばやさ+1"", ""すばやさ+2"", ""きようさ+1"", ""きようさ+2"", ""おしゃれさ+1"", ""おしゃれさ+2"", ""おしゃれさ+3"", ""おしゃれさ+4""]","[""小さなメダル5枚で交換""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-19.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-19.php,"2026-03-12 05:58:10","2026-05-04 17:56:53"
31,accessory_kao_31,マスカレイドマスク,"Masquerade Mask",accessory,顔アクセサリー,顔,,,,2,,,25,,,,,"上流貴族たちが 舞踏会で愛用する 極上のマスク",[],"[""さいだいHP+1"", ""しゅび力+1"", ""こうげき魔力+1"", ""かいふく魔力+1"", ""きようさ+1"", ""おしゃれさ+1"", ""おしゃれさ+2""]","[""小さなメダル5枚で交換""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-20.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-20.php,"2026-03-12 05:58:13","2026-05-04 17:56:53"
32,accessory_kao_32,フサフサのヒゲ,"Fluffy Mustache",accessory,顔アクセサリー,顔,,,,2,,,2,,,,,"フサフサして さわり心地のよい つけヒゲ",[],"[""さいだいHP+1"", ""しゅび力+1"", ""こうげき魔力+1"", ""かいふく魔力+1"", ""きようさ+1"", ""おしゃれさ+1"", ""おしゃれさ+2""]","[""小さなメダル5枚で交換""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-21.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-21.php,"2026-03-12 05:58:16","2026-05-04 17:56:53"
33,accessory_kao_33,フサフサの白ヒゲ,"Fluffy White Mustache",accessory,顔アクセサリー,顔,,,,2,,,2,,,,,"フサフサして さわり心地のよい 白いつけヒゲ",[],"[""さいだいHP+1"", ""しゅび力+1"", ""こうげき魔力+1"", ""かいふく魔力+1"", ""きようさ+1"", ""おしゃれさ+1"", ""おしゃれさ+2""]","[""小さなメダル5枚で交換""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-22.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-22.php,"2026-03-12 05:58:18","2026-05-04 17:56:53"
34,accessory_kao_34,エラい人のヒゲ,"Big-Wig Mustache",accessory,顔アクセサリー,顔,,,,2,,,2,,,,,"エラい人の気分が ちょっと味わえる ダンディなヒゲ",[],"[""さいだいHP+1"", ""しゅび力+1"", ""こうげき魔力+1"", ""かいふく魔力+1"", ""きようさ+1"", ""おしゃれさ+1"", ""おしゃれさ+2""]","[""トルネコから購入(12000G)""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-24.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-24.php,"2026-03-12 05:58:20","2026-05-04 17:56:53"
35,accessory_kao_35,ラウンドメガネ,"Round Glasses",accessory,顔アクセサリー,顔,,,,4,,,10,,,,,"丸くて大きい フレームが特徴の レンズ入りメガネ",[],"[""合成できない""]","[""ヴェリのアクセ屋5000G""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-32.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-32.php,"2026-03-12 05:58:22","2026-05-04 17:56:53"
36,accessory_kao_36,黒ぶちメガネ丸,"Black Round Glasses",accessory,顔アクセサリー,顔,,,,2,,,6,,,,,"かけるとアタマが よさそうに見える まるいメガネ",[],"[""しゅび力+1"", ""しゅび力+2"", ""おしゃれさ+1"", ""おしゃれさ+2"", ""おしゃれさ+3"", ""おしゃれさ+4""]","[""リュウイーソーのレアドロ""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-33.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-33.php,"2026-03-12 05:58:23","2026-05-04 17:56:53"
37,accessory_kao_37,スライムピアス,"Slime Earrings",accessory,顔アクセサリー,顔,,,,2,,,3,,,,,"かわいくプルンと 耳元でゆれる スライム型ピアス",[],"[""さいだいHP+1"", ""しゅび力+1"", ""しゅび力+2"", ""きようさ+1"", ""きようさ+2"", ""おしゃれさ+1"", ""おしゃれさ+2""]","[""マリンスライムのレアドロ""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-34.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-34.php,"2026-03-12 05:58:25","2026-05-04 17:56:53"
38,accessory_kao_38,ほしくずのピアス,"Stardust Earrings",accessory,顔アクセサリー,顔,,,,,,,6,2,,,,"すばやさを高める 星をあしらった かわいい耳かざり",[],"[""しゅび力+1"", ""しゅび力+2"", ""すばやさ+1"", ""すばやさ+2"", ""すばやさ+3"", ""すばやさ+4"", ""すばやさ+5"", ""おしゃれさ+1"", ""おしゃれさ+2""]","[""スターキメラのレアドロ""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kao-35.jpg,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-35.php,"2026-03-12 05:58:27","2026-05-04 17:56:53"
60,accessory_kubi_1,バトルチョーカー,"Dogged Collar",accessory,首アクセサリー,首,,,7,,,,6,,,,,"猛者の印となる 攻撃力を高める 栄誉ある首かざり",[],"[""さいだいHP+2"", ""こうげき力+2"", ""こうげき力+3"", ""こうげき力+5""]","[""アトラスの討伐報酬"", ""銀のフェザーチップ4枚"", ""すごろくの報酬""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kubi-3.jpg,https://draquex.com/akuse/0-kubi.php,https://draquex.com/akuse/akuse-kubi-3.php,"2026-03-12 05:59:14","2026-05-04 17:56:53"
61,accessory_kubi_2,忠誠のチョーカー,"Champion's Choker",accessory,首アクセサリー,首,,,10,,3,,6,,,,,"戦神の加護で 攻撃力が高まる 至高の首かざり",[],"[""こうげき力+2"", ""こうげき力+3"", ""こうげき力+5"", ""さいだいHP+1"", ""さいだいHP+2""]","[""伝説の三悪魔の討伐報酬"", ""銀のフェザーチップ12枚"", ""すごろくの報酬""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kubi-4.jpg,https://draquex.com/akuse/0-kubi.php,https://draquex.com/akuse/akuse-kubi-4.php,"2026-03-12 05:59:16","2026-05-04 17:56:53"
62,accessory_kubi_3,ラストチョーカー,"Ultimate Choker",accessory,首アクセサリー,首,,,30,,11,,6,,,,,"進化の秘宝により 攻撃力が究極に 高まる首かざり",[],"[""こうげき力+6"", ""こうげき力+7"", ""こうげき力+8"", ""こうげき力+9"", ""こうげき力+10""]","[""コインボス「究極エビルプリースト」の討伐報酬""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kubi-19.jpg,https://draquex.com/akuse/0-kubi.php,https://draquex.com/akuse/akuse-kubi-19.php,"2026-03-12 05:59:18","2026-05-04 17:56:53"
63,accessory_kubi_4,幻界王の首かざり,"Dreadful Necklace",accessory,首アクセサリー,首,,,,25,45,,5,,,,,"強さを低下する 攻撃から身を守る 不思議な首かざり","[""各弱体系耐性+50%""]","[""さいだいHP+3"", ""さいだいHP+5"", ""各弱体系耐性25%"", ""各弱体系耐性20%"", ""各弱体系耐性15%"", ""各弱体系耐性10%""]","[""コインボス「真・幻界諸侯」の討伐報酬""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kubi-18.jpg,https://draquex.com/akuse/0-kubi.php,https://draquex.com/akuse/akuse-kubi-18.php,"2026-03-12 05:59:20","2026-05-04 17:56:53"
64,accessory_kubi_5,銀のロザリオ,"Silver Rosary",accessory,首アクセサリー,首,,,,2,,,4,,,,2,"死の寸前たまに HP1で生き残る 神聖な銀のお守り","[""致死ダメージ時10％で生存""]","[""致死ダメージ時生存確率+5%"", ""さいだいHP+2"", ""さいだいHP+3"", ""しゅび力+3"", ""さいだいHP+4""]","[""ベリアルの討伐報酬"", ""銀のフェザーチップ4枚"", ""すごろくの報酬""]",https://draquex.com/akuse/../assets/img-akuse/akuse-kubi-1.jpg,https://draquex.com/akuse/0-kubi.php,https://draquex.com/akuse/akuse-kubi-1.php,"2026-03-12 05:59:22","2026-05-04 17:56:53"
