id,display_order,name,name_en,system_type,system_type_en,is_reincarnated,reincarnation_parent_id,source_url,image_path,created_at,updated_at
26,26,おばけキャンドル,Wax Murderer,物質系,Material,0,,https://www.d-quest-10.com/detail/a00044.html,/storage/images/monsters/26.webp,2026-03-12 06:30:54,2026-03-31 07:36:46
27,27,ホイップゴースト,Whipped Scream,エレメント系,Elemental,0,,https://www.d-quest-10.com/detail/a00290.html,/storage/images/monsters/27.webp,2026-03-12 06:31:00,2026-03-31 07:36:46
28,28,メーダ,Lunatick,虫系,Insect,0,,https://www.d-quest-10.com/detail/a00324.html,/storage/images/monsters/28.webp,2026-03-12 06:31:03,2026-03-31 07:36:46
29,29,メタッピー,Mecha-Mynah,マシン系,Machine,0,,https://www.d-quest-10.com/detail/a00327.html,/storage/images/monsters/29.webp,2026-03-12 06:31:06,2026-03-31 07:36:46
30,30,ボーンバット,Bone Bat,ゾンビ系,Undead,0,,https://www.d-quest-10.com/detail/a00296.html,/storage/images/monsters/30.webp,2026-03-12 06:31:09,2026-03-31 07:36:46
31,31,ホイミスライム,Healslime,スライム系,Slime,0,,https://www.d-quest-10.com/detail/a00291.html,/storage/images/monsters/31.webp,2026-03-12 06:31:12,2026-03-31 07:36:46
32,32,どくイモムシ,Illerpillar,虫系,Insect,0,,https://www.d-quest-10.com/detail/a00194.html,/storage/images/monsters/32.webp,2026-03-12 06:31:17,2026-03-31 07:36:46
33,33,ブラウニー,Brownie,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00257.html,/storage/images/monsters/33.webp,2026-03-12 06:31:20,2026-03-31 07:36:46
34,34,おにこぞう,Pickayune,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00042.html,/storage/images/monsters/34.webp,2026-03-12 06:31:23,2026-03-31 07:36:46
35,35,リリパット,Bodkin Archer,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00351.html,/storage/images/monsters/35.webp,2026-03-12 06:31:27,2026-03-31 07:36:46
36,36,つちわらし,Lickspittle,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00177.html,/storage/images/monsters/36.webp,2026-03-12 06:31:30,2026-03-31 07:36:46
37,37,ぬすっとウサギ,Robber Rabbit,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00215.html,/storage/images/monsters/37.webp,2026-03-12 06:31:39,2026-03-31 07:36:46
38,38,フェアリードラゴン,Damselfly,ドラゴン系,Dragon,0,,https://www.d-quest-10.com/detail/a00249.html,/storage/images/monsters/38.webp,2026-03-12 06:31:43,2026-03-31 07:36:46
39,39,キャタピラー,Killerpillar,虫系,Insect,0,,https://www.d-quest-10.com/detail/a00066.html,/storage/images/monsters/39.webp,2026-03-12 06:31:48,2026-03-31 07:36:46
40,40,もみじこぞう,Leafy Larrikin,植物系,Plant,0,,https://www.d-quest-10.com/detail/a00339.html,/storage/images/monsters/40.webp,2026-03-12 06:31:51,2026-03-31 07:36:46
41,41,どくろあらい,Haardvark,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00197.html,/storage/images/monsters/41.webp,2026-03-12 06:31:54,2026-03-31 07:36:46
42,42,さまようたましい,Lost Soul,エレメント系,Elemental,0,,https://www.d-quest-10.com/detail/a00116.html,/storage/images/monsters/42.webp,2026-03-12 06:31:57,2026-03-31 07:36:46
43,43,シールドこぞう,Leery Lout,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00122.html,/storage/images/monsters/43.webp,2026-03-12 06:32:00,2026-03-31 07:36:46
44,44,メタルスライム,Metal Slime,スライム系,Slime,0,,https://www.d-quest-10.com/detail/a00328.html,/storage/images/monsters/44.webp,2026-03-12 06:32:04,2026-03-31 07:36:46
45,45,ゴールデントーテム,Gem Jamboree,スライム系,Slime,0,,https://www.d-quest-10.com/detail/a00102.html,/storage/images/monsters/45.webp,2026-03-12 06:32:07,2026-03-31 07:36:46
46,46,おおくちばし,Beakon,鳥系,Bird,0,,https://www.d-quest-10.com/detail/a00039.html,/storage/images/monsters/46.webp,2026-03-12 06:32:10,2026-03-31 07:36:46
47,47,ギズモ,Cumaulus,エレメント系,Elemental,0,,https://www.d-quest-10.com/detail/a00062.html,/storage/images/monsters/47.webp,2026-03-12 06:32:13,2026-03-31 07:36:46
48,48,アルミラージ,Spiked Hare,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00014.html,/storage/images/monsters/48.webp,2026-03-12 06:32:16,2026-03-31 07:36:46
49,49,ピッキー,Bludgerigar,鳥系,Bird,0,,https://www.d-quest-10.com/detail/a00235.html,/storage/images/monsters/49.webp,2026-03-12 06:32:20,2026-03-31 07:36:46
50,50,どんぐりベビー,Mitey Oak,植物系,Plant,0,,https://www.d-quest-10.com/detail/a00208.html,/storage/images/monsters/50.webp,2026-03-12 06:32:23,2026-03-31 07:36:46
51,51,はぐれメタル,Liquid Metal Slime,スライム系,Slime,0,,https://www.d-quest-10.com/detail/a00361.html,/storage/images/monsters/51.webp,2026-03-12 06:32:27,2026-03-31 07:36:46
52,52,メイジドラキー,Drackolyte,鳥系,Bird,0,,https://www.d-quest-10.com/detail/a00323.html,/storage/images/monsters/52.webp,2026-03-12 06:32:30,2026-03-31 07:36:46
53,53,しびれだんびら,Paralyslicer,物質系,Material,0,,https://www.d-quest-10.com/detail/a00132.html,/storage/images/monsters/53.webp,2026-03-12 06:32:35,2026-03-31 07:36:46
54,54,びっくりサタン,Dancing Devil,悪魔系,Demon,0,,https://www.d-quest-10.com/detail/a00240.html,/storage/images/monsters/54.webp,2026-03-12 06:32:40,2026-03-31 07:36:46
55,55,ふくまねき,Fortune Weaver,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00407.html,/storage/images/monsters/55.webp,2026-03-12 06:32:42,2026-03-31 07:36:46
56,56,ふゆうじゅ,Monolog,植物系,Plant,0,,https://www.d-quest-10.com/detail/a00254.html,/storage/images/monsters/56.webp,2026-03-12 06:32:45,2026-03-31 07:36:46
57,57,チャームバット,Charm Bat,ゾンビ系,Undead,0,,https://www.d-quest-10.com/detail/a00175.html,/storage/images/monsters/57.webp,2026-03-12 06:32:48,2026-03-31 07:36:46
58,58,どくやずきん,Bodkin Fletcher,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00196.html,/storage/images/monsters/58.webp,2026-03-12 06:32:51,2026-03-31 07:36:46
59,59,しびれくらげ,Man o' War,水系,Aquatic,0,,https://www.d-quest-10.com/detail/a00131.html,/storage/images/monsters/59.webp,2026-03-12 06:32:54,2026-03-31 07:36:46
60,60,メタルブラザーズ,Metal Medley,スライム系,Slime,0,,https://www.d-quest-10.com/detail/a00360.html,/storage/images/monsters/60.webp,2026-03-12 06:32:58,2026-03-31 07:36:46
61,61,マドハンド,Muddy Hand,ゾンビ系,Undead,0,,https://www.d-quest-10.com/detail/a00316.html,/storage/images/monsters/61.webp,2026-03-12 06:33:01,2026-03-31 07:36:46
62,62,ポイズントリル,Poison Trill,エレメント系,Elemental,0,,https://www.d-quest-10.com/detail/a00288.html,/storage/images/monsters/62.webp,2026-03-12 06:33:04,2026-03-31 07:36:46
63,63,おばけヒトデ,Scarfish,水系,Aquatic,0,,https://www.d-quest-10.com/detail/a00046.html,/storage/images/monsters/63.webp,2026-03-12 06:33:07,2026-03-31 07:36:46
64,64,メタルキング,Metal King Slime,スライム系,Slime,0,,https://www.d-quest-10.com/detail/a00377.html,/storage/images/monsters/64.webp,2026-03-12 06:33:11,2026-03-31 07:36:46
65,66,たけやりへい,Bambooligan,マシン系,Machine,0,,https://www.d-quest-10.com/detail/a00167.html,/storage/images/monsters/65.webp,2026-03-12 06:33:17,2026-03-31 07:36:46
66,67,しのどれい,Dead Resident,ゾンビ系,Undead,0,,https://www.d-quest-10.com/detail/a00130.html,/storage/images/monsters/66.webp,2026-03-12 06:33:19,2026-03-31 07:36:46
67,68,ゆめにゅうどう,Napir,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00341.html,/storage/images/monsters/67.webp,2026-03-12 06:33:25,2026-03-31 07:36:46
68,69,くみひもこぞう,String Fella,物質系,Material,0,,https://www.d-quest-10.com/detail/a00084.html,/storage/images/monsters/68.webp,2026-03-12 06:33:31,2026-03-31 07:36:46
69,70,グレムリン,Gremlin,悪魔系,Demon,0,,https://www.d-quest-10.com/detail/a00091.html,/storage/images/monsters/69.webp,2026-03-12 06:33:33,2026-03-31 07:36:46
70,71,ぐんたいガニ,Crabid,水系,Aquatic,0,,https://www.d-quest-10.com/detail/a00092.html,/storage/images/monsters/70.webp,2026-03-12 06:33:36,2026-03-31 07:36:46
71,72,あばれこまいぬ,Foo Dog,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00011.html,/storage/images/monsters/71.webp,2026-03-12 06:33:39,2026-03-31 07:36:46
72,73,ハンターフライ,Rumble Bee,虫系,Insect,0,,https://www.d-quest-10.com/detail/a00230.html,/storage/images/monsters/72.webp,2026-03-12 06:33:42,2026-03-31 07:36:46
73,74,ポイズンリザード,Killer Gila,水系,Aquatic,0,,https://www.d-quest-10.com/detail/a00289.html,/storage/images/monsters/73.webp,2026-03-12 06:33:49,2026-03-31 07:36:46
74,75,スカルガルー,Guaardvark,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00141.html,/storage/images/monsters/74.webp,2026-03-12 06:33:52,2026-03-31 07:36:46
75,76,トンブレロ,Ham Shamwitch,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00209.html,/storage/images/monsters/75.webp,2026-03-12 06:33:55,2026-03-31 07:36:46
76,77,ガチャコッコ,Clockwork Cuckoo,マシン系,Machine,0,,https://www.d-quest-10.com/detail/a00051.html,/storage/images/monsters/76.webp,2026-03-12 06:33:58,2026-03-31 07:36:46
77,79,デビルスノー,Shivery Shrubbery,エレメント系,Elemental,0,,https://www.d-quest-10.com/detail/a00188.html,/storage/images/monsters/77.webp,2026-03-12 06:34:02,2026-03-31 07:36:46
78,80,スノーモン,Snow Sanguini,悪魔系,Demon,0,,https://www.d-quest-10.com/detail/a00147.html,/storage/images/monsters/78.webp,2026-03-12 06:34:09,2026-03-31 07:36:46
79,81,カメレオンマン,Pesky Jester,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00055.html,/storage/images/monsters/79.webp,2026-03-12 06:34:13,2026-03-31 07:36:46
80,82,ゴールデンスライム,Gem Slime,スライム系,Slime,0,,https://www.d-quest-10.com/detail/a00403.html,/storage/images/monsters/80.webp,2026-03-12 06:34:16,2026-03-31 07:36:46
81,83,モコモコじゅう,Rotten Cotton,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00338.html,/storage/images/monsters/81.webp,2026-03-12 06:34:20,2026-03-31 07:36:46
82,84,ジャガーメイジ,Clawcerer,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00134.html,/storage/images/monsters/82.webp,2026-03-12 06:34:25,2026-03-31 07:36:46
83,85,ともしびこぞう,Wickerman,物質系,Material,0,,https://www.d-quest-10.com/detail/a00199.html,/storage/images/monsters/83.webp,2026-03-12 06:34:29,2026-03-31 07:36:46
84,86,スライムナイト,Slime Knight,スライム系,Slime,0,,https://www.d-quest-10.com/detail/a00154.html,/storage/images/monsters/84.webp,2026-03-12 06:34:32,2026-03-31 07:36:46
85,87,スライムタワー,Slime Stack,スライム系,Slime,0,,https://www.d-quest-10.com/detail/a00152.html,/storage/images/monsters/85.webp,2026-03-12 06:34:35,2026-03-31 07:36:46
86,88,キメラ,Chimaera,鳥系,Bird,0,,https://www.d-quest-10.com/detail/a00065.html,/storage/images/monsters/86.webp,2026-03-12 06:34:40,2026-03-31 07:36:46
87,89,アイアンクック,Robo-Robin,マシン系,Machine,0,,https://www.d-quest-10.com/detail/a00002.html,/storage/images/monsters/87.webp,2026-03-12 06:34:43,2026-03-31 07:36:46
88,90,タップデビル,Tap Devil,悪魔系,Demon,0,,https://www.d-quest-10.com/detail/a00170.html,/storage/images/monsters/88.webp,2026-03-12 06:34:46,2026-03-31 07:36:46
89,91,ピンクモーモン,Pink Sanguini,悪魔系,Demon,0,,https://www.d-quest-10.com/detail/a00246.html,/storage/images/monsters/89.webp,2026-03-12 06:34:49,2026-03-31 07:36:46
90,92,バブリン,Zepling,エレメント系,Elemental,0,,https://www.d-quest-10.com/detail/a00225.html,/storage/images/monsters/90.webp,2026-03-12 06:34:52,2026-03-31 07:36:46
91,93,あおだけ童子,Bamboo Bopper,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00006.html,/storage/images/monsters/91.webp,2026-03-12 06:34:55,2026-03-31 07:36:46
92,94,キャットバット,Catula,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00067.html,/storage/images/monsters/92.webp,2026-03-12 06:34:58,2026-03-31 07:36:46
93,95,メーダロード,Raving Lunatick,虫系,Insect,0,,https://www.d-quest-10.com/detail/a00325.html,/storage/images/monsters/93.webp,2026-03-12 06:35:01,2026-03-31 07:36:46
94,96,ランドンクイナ,Apeckalypse,鳥系,Bird,0,,https://www.d-quest-10.com/detail/a00345.html,/storage/images/monsters/94.webp,2026-03-12 06:35:04,2026-03-31 07:36:46
95,97,わらいぶくろ,Bag o' Laughs,物質系,Material,0,,https://www.d-quest-10.com/detail/a00358.html,/storage/images/monsters/95.webp,2026-03-12 06:35:07,2026-03-31 07:36:46
96,98,アローインプ,Bodkin Bowyer,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00016.html,/storage/images/monsters/96.webp,2026-03-12 06:35:10,2026-03-31 07:36:46
97,99,だいおうキッズ,Squid Kid,水系,Aquatic,0,,https://www.d-quest-10.com/detail/a00165.html,/storage/images/monsters/97.webp,2026-03-12 06:35:14,2026-03-31 07:36:46
98,100,サイおとこ,Rhinothrope,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00108.html,/storage/images/monsters/98.webp,2026-03-12 06:35:17,2026-03-31 07:36:46
99,101,ばくだん岩,Rockbomb,物質系,Material,0,,https://www.d-quest-10.com/detail/a00222.html,/storage/images/monsters/99.webp,2026-03-12 06:35:20,2026-03-31 07:36:46
100,102,マジカルハット,Hat Hamwitch,物質系,Material,0,,https://www.d-quest-10.com/detail/a00309.html,/storage/images/monsters/100.webp,2026-03-12 06:35:22,2026-03-31 07:36:46
101,103,さんぞくウルフ,Ruff Ruffian,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00117.html,/storage/images/monsters/101.webp,2026-03-12 06:35:25,2026-03-31 07:36:46
102,104,シードッグ,Sea Dog,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00120.html,/storage/images/monsters/102.webp,2026-03-12 06:35:28,2026-03-31 07:36:46
103,105,プテラノドン,Pteranodon,鳥系,Bird,0,,https://www.d-quest-10.com/detail/a00253.html,/storage/images/monsters/103.webp,2026-03-12 06:35:32,2026-03-31 07:36:46
104,106,マッドフィンガー,Muddy Finger,ゾンビ系,Undead,0,,https://www.d-quest-10.com/detail/a00314.html,/storage/images/monsters/104.webp,2026-03-12 06:35:35,2026-03-31 07:36:46
105,107,メランザーナ,Awebergine,植物系,Plant,0,,https://www.d-quest-10.com/detail/a00335.html,/storage/images/monsters/105.webp,2026-03-12 06:35:39,2026-03-31 07:36:46
106,108,ピクシー,Picksy,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00234.html,/storage/images/monsters/106.webp,2026-03-12 06:35:42,2026-03-31 07:36:46
107,109,バアラック,Pickeerer,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00219.html,/storage/images/monsters/107.webp,2026-03-12 06:35:46,2026-03-31 07:36:46
108,110,プリズニャン,Jailcat,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00262.html,/storage/images/monsters/108.webp,2026-03-12 06:35:49,2026-03-31 07:36:46
109,111,ベビーマジシャン,Blinkster,悪魔系,Demon,0,,https://www.d-quest-10.com/detail/a00271.html,/storage/images/monsters/109.webp,2026-03-12 06:35:53,2026-03-31 07:36:46
110,112,デスマエストロ,Frightening Conductor,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00184.html,/storage/images/monsters/110.webp,2026-03-12 06:35:56,2026-03-31 07:36:46
111,113,イエローシックル,Armour Mantis,虫系,Insect,0,,https://www.d-quest-10.com/detail/a00019.html,/storage/images/monsters/111.webp,2026-03-12 06:35:59,2026-03-31 07:36:46
112,114,あくま神官,Wrecktor,悪魔系,Demon,0,,https://www.d-quest-10.com/detail/a00008.html,/storage/images/monsters/112.webp,2026-03-12 06:36:03,2026-03-31 07:36:46
113,115,フレイム,Dancing Flame,エレメント系,Elemental,0,,https://www.d-quest-10.com/detail/a00266.html,/storage/images/monsters/113.webp,2026-03-12 06:36:06,2026-03-31 07:36:46
114,116,タップペンギー,Pogoin' Penguin,水系,Aquatic,0,,https://www.d-quest-10.com/detail/a00171.html,/storage/images/monsters/114.webp,2026-03-12 06:36:09,2026-03-31 07:36:46
115,117,ベホイミスライム,Medislime,スライム系,Slime,0,,https://www.d-quest-10.com/detail/a00273.html,/storage/images/monsters/115.webp,2026-03-12 06:36:12,2026-03-31 07:36:46
116,118,ベビーニュート,Sizzard,ドラゴン系,Dragon,0,,https://www.d-quest-10.com/detail/a00270.html,/storage/images/monsters/116.webp,2026-03-12 06:36:15,2026-03-31 07:36:46
117,119,プヨンターゲット,Healium Balloon,エレメント系,Elemental,0,,https://www.d-quest-10.com/detail/a00255.html,/storage/images/monsters/117.webp,2026-03-12 06:36:18,2026-03-31 07:36:46
118,120,ベロベロ,Frolicker,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00286.html,/storage/images/monsters/118.webp,2026-03-12 06:36:21,2026-03-31 07:36:46
119,121,ケダモン,Feralbeast,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00094.html,/storage/images/monsters/119.webp,2026-03-12 06:36:24,2026-03-31 07:36:46
120,122,ベンガルクーン,Purrestidigitator,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00287.html,/storage/images/monsters/120.webp,2026-03-12 06:36:27,2026-03-31 07:36:46
121,123,マジックフライ,Splutterfly,虫系,Insect,0,,https://www.d-quest-10.com/detail/a00311.html,/storage/images/monsters/121.webp,2026-03-12 06:36:30,2026-03-31 07:36:46
122,124,とうろうへい,Bamboolinquent,マシン系,Machine,0,,https://www.d-quest-10.com/detail/a00193.html,/storage/images/monsters/122.webp,2026-03-12 06:36:33,2026-03-31 07:36:46
123,125,キャットフライ,Vampire Cat,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00068.html,/storage/images/monsters/123.webp,2026-03-12 06:36:37,2026-03-31 07:36:46
124,126,イエティ,Powie Yowie,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00018.html,/storage/images/monsters/124.webp,2026-03-12 06:36:40,2026-03-31 07:36:46
125,127,デザートランナー,Parched Peckerel,鳥系,Bird,0,,https://www.d-quest-10.com/detail/a00180.html,/storage/images/monsters/125.webp,2026-03-12 06:36:43,2026-03-31 07:36:46
126,128,スマイルロック,Grinade,物質系,Material,0,,https://www.d-quest-10.com/detail/a00149.html,/storage/images/monsters/126.webp,2026-03-12 06:36:47,2026-03-31 07:36:46
127,129,メイジキメラ,Hocus Chimaera,鳥系,Bird,0,,https://www.d-quest-10.com/detail/a00322.html,/storage/images/monsters/127.webp,2026-03-12 06:36:52,2026-03-31 07:36:46
128,130,ウッディアイ,Direlog,植物系,Plant,0,,https://www.d-quest-10.com/detail/a00029.html,/storage/images/monsters/128.webp,2026-03-12 06:36:55,2026-03-31 07:36:46
129,131,おどるほうせき,Goodybag,物質系,Material,0,,https://www.d-quest-10.com/detail/a00040.html,/storage/images/monsters/129.webp,2026-03-12 06:36:59,2026-03-31 07:36:46
130,132,くさった死体,Walking Corpse,ゾンビ系,Undead,0,,https://www.d-quest-10.com/detail/a00082.html,/storage/images/monsters/130.webp,2026-03-12 06:37:01,2026-03-31 07:36:46
131,133,コトブキーノ,Kotobukino,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00106.html,/storage/images/monsters/131.webp,2026-03-12 06:37:04,2026-03-31 07:36:46
132,134,ベロニャーゴ,Terror Tabby,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00285.html,/storage/images/monsters/132.webp,2026-03-12 06:37:08,2026-03-31 07:36:46
133,135,ブルベリーノ,Foebergine,植物系,Plant,0,,https://www.d-quest-10.com/detail/a00265.html,/storage/images/monsters/133.webp,2026-03-12 06:37:12,2026-03-31 07:36:46
134,136,アロエおに,Aloehaha,植物系,Plant,0,,https://www.d-quest-10.com/detail/a00015.html,/storage/images/monsters/134.webp,2026-03-12 06:37:17,2026-03-31 07:36:46
135,137,ビッグフェイス,Gum Shield,怪人系,Humanoid,0,,https://www.d-quest-10.com/detail/a00238.html,/storage/images/monsters/135.webp,2026-03-12 06:37:20,2026-03-31 07:36:46
136,138,じんめんじゅ,Treeface,植物系,Plant,0,,https://www.d-quest-10.com/detail/a00139.html,/storage/images/monsters/136.webp,2026-03-12 06:37:23,2026-03-31 07:36:46
137,139,ケセランパセラン,Tufty Tot,植物系,Plant,0,,https://www.d-quest-10.com/detail/a00093.html,/storage/images/monsters/137.webp,2026-03-12 06:37:28,2026-03-31 07:36:46
138,140,モコフル,Fluff Puff,植物系,Plant,0,,https://www.d-quest-10.com/detail/a00337.html,/storage/images/monsters/138.webp,2026-03-12 06:37:31,2026-03-31 07:36:46
139,141,リザードマン,Mandrake Major,ドラゴン系,Dragon,0,,https://www.d-quest-10.com/detail/a00346.html,/storage/images/monsters/139.webp,2026-03-12 06:37:34,2026-03-31 07:36:46
140,142,ドラキーマ,Drackyma,鳥系,Bird,0,,https://www.d-quest-10.com/detail/a00201.html,/storage/images/monsters/140.webp,2026-03-12 06:37:37,2026-03-31 07:36:46
141,143,メトロゴースト,Fightgeist,ゾンビ系,Undead,0,,https://www.d-quest-10.com/detail/a00332.html,/storage/images/monsters/141.webp,2026-03-12 06:37:40,2026-03-31 07:36:46
142,144,ぼうれい剣士,Phantom Fencer,ゾンビ系,Undead,0,,https://www.d-quest-10.com/detail/a00378.html,/storage/images/monsters/142.webp,2026-03-12 06:37:46,2026-03-31 07:36:46
143,145,オーク,Orc,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00037.html,/storage/images/monsters/143.webp,2026-03-12 06:37:49,2026-03-31 07:36:46
144,146,たまねぎマン,Loathsome Leek,植物系,Plant,0,,https://www.d-quest-10.com/detail/a00174.html,/storage/images/monsters/144.webp,2026-03-12 06:37:53,2026-03-31 07:36:46
145,147,ほねコウモリ,Bat Skeleton,ゾンビ系,Undead,0,,https://www.d-quest-10.com/detail/a00301.html,/storage/images/monsters/145.webp,2026-03-12 06:37:57,2026-03-31 07:36:46
146,148,ひとつめピエロ,Jinkster,悪魔系,Demon,0,,https://www.d-quest-10.com/detail/a00244.html,/storage/images/monsters/146.webp,2026-03-12 06:38:02,2026-03-31 07:36:46
147,149,あらくれチャッピー,Ripped Rabbit,獣系,Beast,0,,https://www.d-quest-10.com/detail/a00013.html,/storage/images/monsters/147.webp,2026-03-12 06:38:05,2026-03-31 07:36:46
