id,item_id,item_name,item_name_en,equipment_type_id,job_override_mode,craft_level,equip_level,recipe_book,recipe_place,description,slot,slot_grid_type,slot_grid_cols,group_kind,group_id,group_name,materials_json,slot_grid_json,source_url,detail_url,effects_json,created_at,updated_at
11,katateken_100,邪紋のつるぎ,,1,inherit,45,100,受け継がれし邪紋の書,王都キィンベルのレシピ屋40000G,まれに攻撃力を下げ状態異常成功率が少し上がる剣,片手剣,片手剣,1,weapon_single,武器鍛冶_邪紋のつるぎ,邪紋のつるぎ,"[{""count"": 10, ""item_id"": 543}, {""count"": 1, ""item_id"": 648}, {""count"": 5, ""item_id"": 759}, {""count"": 30, ""item_id"": 850}, {""count"": 5, ""item_id"": 865}]","[[""294-304""], [""318-326""], [""328-336""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-100-1.php,"[""状態異常系の成功率+10.0%"", ""攻撃時5%でヘナトス""]","2026-03-12 07:31:34","2026-03-12 07:31:34"
12,katateken_99,アカシックソード,,1,inherit,44,99,図解・虚空を断つ剣,聖都エジャルナのレシピ屋40000G,会心率を少し上げ攻撃力アップも延長できる剣,片手剣,片手剣,1,weapon_single,武器鍛冶_アカシックソド,アカシックソード,"[{""count"": 5, ""item_id"": 543}, {""count"": 1, ""item_id"": 564}, {""count"": 30, ""item_id"": 633}, {""count"": 30, ""item_id"": 535}, {""count"": 5, ""item_id"": 865}]","[[""284-294""], [""320-326""], [""316-326""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-99-1.php,"[""かいしん率+1.2%"", ""こうげき力上昇の時間が10秒増加""]","2026-03-12 07:31:36","2026-03-12 07:31:36"
13,katateken_96,天恵石のつるぎ,,1,inherit,43,96,天恵石の契約・剣の章,聖都エジャルナのレシピ屋40000G,獣系に強くまれに敵の動きをにぶらせる剣,片手剣,片手剣,1,weapon_single,武器鍛冶_天恵石のつるぎ,天恵石のつるぎ,"[{""count"": 5, ""item_id"": 543}, {""count"": 1, ""item_id"": 703}, {""count"": 20, ""item_id"": 608}, {""count"": 10, ""item_id"": 850}, {""count"": 5, ""item_id"": 865}]","[[""300-310""], [""368-374""], [""300-310""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-96-1.php,"[""獣系にダメージ+15%"", ""攻撃時4%でボミエ2段階""]","2026-03-12 07:31:38","2026-03-12 07:31:38"
14,katateken_93,セイクリッドソード,,1,inherit,42,93,聖剣と生きる,聖都エジャルナのレシピ屋30000G,鋭い斬撃と聖なる守護をあわせ持つ聖剣,片手剣,片手剣,1,weapon_single,武器鍛冶_セイクリッドソド,セイクリッドソード,"[{""count"": 5, ""item_id"": 759}, {""count"": 1, ""item_id"": 765}, {""count"": 1, ""item_id"": 703}, {""count"": 30, ""item_id"": 627}, {""count"": 5, ""item_id"": 865}]","[[""260-270""], [""260-270""], [""320-326""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-93-1.php,"[""かいしん率+1.2%"", ""武器ガード率+2.0%""]","2026-03-12 07:31:41","2026-03-12 07:31:41"
15,katateken_90,はやぶさの剣改,,1,inherit,41,90,はやぶさの剣改の書,聖都エジャルナのレシピ屋30000G,はやぶさの剣より切れ味するどく2回攻撃できる剣,片手剣,片手剣,1,weapon_single,武器鍛冶_はやぶさの剣改,はやぶさの剣改,"[{""count"": 5, ""item_id"": 759}, {""count"": 1, ""item_id"": 856}, {""count"": 1, ""item_id"": 611}, {""count"": 1, ""item_id"": 570}, {""count"": 5, ""item_id"": 865}]","[[""341-347""], [""294-304""], [""245-255""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-90-1.php,"[""2回攻撃できる"", ""開戦時10%でバイキルト""]","2026-03-12 07:31:43","2026-03-12 07:31:43"
16,katateken_85,戦姫のレイピア,,1,inherit,40,85,ゴーゴー戦姫,真グランゼドーラ王国のレシピ屋30000G,魔力を節約できる鋭い切っ先の気高きレイピア,片手剣,片手剣,1,weapon_single,武器鍛冶_戦姫のレイピア,戦姫のレイピア,"[{""count"": 3, ""item_id"": 759}, {""count"": 20, ""item_id"": 728}, {""count"": 20, ""item_id"": 595}, {""count"": 1, ""item_id"": 761}, {""count"": 5, ""item_id"": 865}]","[[""220-226""], [""252-262""], [""288-298""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-85-1.php,"[""MP消費しない率+4.0%"", ""かいしん率+1.2%""]","2026-03-12 07:31:45","2026-03-12 07:31:45"
17,katateken_80,天命のつるぎ,,1,inherit,39,80,天命賢書,真グランゼドーラ王国のレシピ屋20000G,斬りつけた相手の攻撃力を下げる神々に愛されし剣,片手剣,片手剣,1,weapon_single,武器鍛冶_天命のつるぎ,天命のつるぎ,"[{""count"": 15, ""item_id"": 838}, {""count"": 5, ""item_id"": 702}, {""count"": 3, ""item_id"": 735}, {""count"": 1, ""item_id"": 761}, {""count"": 10, ""item_id"": 865}]","[[""220-230""], [""300-306""], [""220-230""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-80-2.php,"[""攻撃時4%でヘナトス""]","2026-03-12 07:31:48","2026-03-12 07:31:48"
18,katateken_80_2,"名刀 斬鉄丸",,1,inherit,38,80,斬鉄丸の書,真グランゼドーラ王国のレシピ屋20000G,時々斬った相手の守備力を下げる切れ味するどい刀,片手剣,片手剣,1,weapon_single,武器鍛冶_名刀_斬鉄丸,"名刀 斬鉄丸","[{""count"": 30, ""item_id"": 608}, {""count"": 5, ""item_id"": 819}, {""count"": 10, ""item_id"": 678}, {""count"": 1, ""item_id"": 761}, {""count"": 10, ""item_id"": 865}]","[[""335-341""], [""265-275""], [""192-202""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-80-1.php,"[""攻撃時4%でルカニ""]","2026-03-12 07:31:50","2026-03-12 07:31:50"
19,katateken_75,ライトニングソード,,1,inherit,37,75,ライトニングソードの書,真グランゼドーラ王国のレシピ屋20000G,雷の力を宿した青くかがやく超硬度の剣,片手剣,片手剣,1,weapon_single,武器鍛冶_ライトニングソド,ライトニングソード,"[{""count"": 10, ""item_id"": 838}, {""count"": 1, ""item_id"": 856}, {""count"": 1, ""item_id"": 554}, {""count"": 1, ""item_id"": 761}, {""count"": 10, ""item_id"": 865}]","[[""170-180""], [""250-260""], [""350-356""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-75-1.php,"[""雷属性攻撃""]","2026-03-12 07:31:53","2026-03-12 07:31:53"
20,katateken_70,聖王のつるぎ,,1,inherit,36,70,聖王のつるぎの壁画,偽グランゼドーラ王国のレシピ屋20000G,聖なる力を秘めたドラゴン系の敵を切り裂く剣,片手剣,片手剣,1,weapon_single,武器鍛冶_聖王のつるぎ,聖王のつるぎ,"[{""count"": 1, ""item_id"": 648}, {""count"": 1, ""item_id"": 570}, {""count"": 1, ""item_id"": 753}, {""count"": 1, ""item_id"": 761}, {""count"": 5, ""item_id"": 865}]","[[""270-280""], [""200-206""], [""300-310""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-70-1.php,"[""ドラゴン系にダメージ+10%""]","2026-03-12 07:31:55","2026-03-12 07:31:55"
21,katateken_65,ほしくずのつるぎ,,1,inherit,35,65,ほしくずのつるぎの本,グレン城・武器鍛冶ギルドのレシピ屋10000G,斬りつけた相手の守備力を下げる星をも切り裂く剣,片手剣,片手剣,1,weapon_single,武器鍛冶_ほしくずのつるぎ,ほしくずのつるぎ,"[{""count"": 30, ""item_id"": 821}, {""count"": 30, ""item_id"": 652}, {""count"": 5, ""item_id"": 608}, {""count"": 1, ""item_id"": 639}, {""count"": 10, ""item_id"": 865}]","[[""180-188""], [""270-282""], [""230-236""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-65-1.php,"[""攻撃時4%でルカニ""]","2026-03-12 07:31:57","2026-03-12 07:31:57"
22,katateken_60,メタスラの剣,,1,inherit,33,60,メタスラの剣のレシピ,グレン城・武器鍛冶ギルドのレシピ屋10000G,メタル系の魔物を倒しやすいとても硬い剣,片手剣,片手剣,1,weapon_single,武器鍛冶_メタスラの剣,メタスラの剣,"[{""count"": 15, ""item_id"": 784}, {""count"": 3, ""item_id"": 753}, {""count"": 1, ""item_id"": 856}, {""count"": 12, ""item_id"": 865}]","[[""140-144""], [""280-291""], [""180-190""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-60-1.php,"[""メタル系に+1ダメージ""]","2026-03-12 07:31:59","2026-03-12 07:31:59"
23,katateken_60_2,オニキスの魔剣,,1,inherit,34,60,オニキスの魔剣の本,グレン城・武器鍛冶ギルドのレシピ屋10000G,装備すると最大MPが増える妖気ただよう剣,片手剣,片手剣,1,weapon_single,武器鍛冶_オニキスの魔剣,オニキスの魔剣,"[{""count"": 1, ""item_id"": 649}, {""count"": 10, ""item_id"": 867}, {""count"": 1, ""item_id"": 782}, {""count"": 12, ""item_id"": 865}]","[[""154-164""], [""240-250""], [""310-316""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-60-2.php,"[""-""]","2026-03-12 07:32:02","2026-03-12 07:32:02"
24,katateken_50,ほのおのつるぎ,,1,inherit,30,50,ほのおのつるぎの書,グレン城・武器鍛冶ギルドのレシピ屋10000G,炎の魔力をみなぎらせる猛々しい剣,片手剣,片手剣,1,weapon_single,武器鍛冶_ほのおのつるぎ,ほのおのつるぎ,"[{""count"": 10, ""item_id"": 816}, {""count"": 1, ""item_id"": 880}, {""count"": 30, ""item_id"": 863}, {""count"": 10, ""item_id"": 865}]","[[""130-135""], [""160-168""], [""220-230""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-50-1.php,"[""炎属性攻撃""]","2026-03-12 07:32:04","2026-03-12 07:32:04"
25,katateken_50_2,きせきのつるぎ,,1,inherit,30,50,ミラクル武器の軌跡,グレン城・武器鍛冶ギルドのレシピ屋10000G,攻撃するたびにキズをいやす神々しい剣,片手剣,片手剣,1,weapon_single,武器鍛冶_きせきのつるぎ,きせきのつるぎ,"[{""count"": 12, ""item_id"": 816}, {""count"": 30, ""item_id"": 627}, {""count"": 1, ""item_id"": 811}, {""count"": 10, ""item_id"": 865}]","[[""235-243""], [""145-153""], [""180-184""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-50-2.php,"[""攻撃ダメージの6.0%HPが回復""]","2026-03-12 07:32:07","2026-03-12 07:32:07"
26,katateken_42,プラチナソード,,1,inherit,25,42,プラチナソードの本,メギストリスの都G-2の民家の2階の本棚,コロシアムで威力を発揮するプラチナ製の剣,片手剣,片手剣,1,weapon_single,武器鍛冶_プラチナソド,プラチナソード,"[{""count"": 4, ""item_id"": 816}, {""count"": 1, ""item_id"": 835}, {""count"": 3, ""item_id"": 881}, {""count"": 4, ""item_id"": 865}]","[[""120-128""], [""170-184""], [""100-104""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-42-1.php,"[""試合時のみダメージ+10%""]","2026-03-12 07:32:09","2026-03-12 07:32:09"
27,katateken_42_2,まけんしのレイピア,,1,inherit,27,42,実録！魔剣の作り方,バザーのみかげのきしがドロップする,赤い刀身が人目を惹きつける細身の剣,片手剣,片手剣,1,weapon_single,武器鍛冶_まけんしのレイピア,まけんしのレイピア,"[{""count"": 5, ""item_id"": 816}, {""count"": 2, ""item_id"": 548}, {""count"": 2, ""item_id"": 549}, {""count"": 5, ""item_id"": 865}]","[[""126-137""], [""134-140""], [""160-174""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-42-2.php,"[""-""]","2026-03-12 07:32:11","2026-03-12 07:32:11"
28,katateken_42_3,ゾンビキラー,,1,inherit,29,42,ゾンビキラーの本,グレン城・武器鍛冶ギルドのレシピ屋3000G,ゾンビ系の魔物にめっぽう強い聖なる剣,片手剣,片手剣,1,weapon_single,武器鍛冶_ゾンビキラ,ゾンビキラー,"[{""count"": 6, ""item_id"": 816}, {""count"": 1, ""item_id"": 702}, {""count"": 1, ""item_id"": 551}, {""count"": 6, ""item_id"": 865}]","[[""150-154""], [""190-210""], [""110-116""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-42-3.php,"[""ゾンビ系にダメージ+20%""]","2026-03-12 07:32:14","2026-03-12 07:32:14"
29,katateken_42_4,ドラゴンキラー,,1,inherit,30,42,ドラゴンキラーの本,メギストリスの都のレシピ屋10000G,ドラゴン系の敵にめっぽう強いたのもしい剣,片手剣,片手剣,1,weapon_single,武器鍛冶_ドラゴンキラ,ドラゴンキラー,"[{""count"": 6, ""item_id"": 816}, {""count"": 1, ""item_id"": 753}, {""count"": 1, ""item_id"": 879}, {""count"": 8, ""item_id"": 865}]","[[""200-206""], [""120-130""], [""160-164""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-42-4.php,"[""ドラゴン系にダメージ+20%""]","2026-03-12 07:32:16","2026-03-12 07:32:16"
30,katateken_35,はやぶさの剣,,1,inherit,23,35,はやぶさの剣の書,バザーのみシルバーマントがドロップする,すばやく2回攻撃できる不思議な剣,片手剣,片手剣,1,weapon_single,武器鍛冶_はやぶさの剣,はやぶさの剣,"[{""count"": 1, ""item_id"": 633}, {""count"": 1, ""item_id"": 784}, {""count"": 1, ""item_id"": 732}]","[[""80-84""], [""160-168""], [""120-130""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-35-3.php,"[""2回攻撃できる""]","2026-03-12 07:32:18","2026-03-12 07:32:18"
31,katateken_35_2,はじゃのつるぎ,,1,inherit,20,35,はじゃのつるぎの書,バザーのみキングリザードがドロップする,戦闘中に使うと地を這う炎が敵を焼き尽くす剣,片手剣,片手剣,1,weapon_single,武器鍛冶_はじゃのつるぎ,はじゃのつるぎ,"[{""count"": 1, ""item_id"": 633}, {""count"": 1, ""item_id"": 820}, {""count"": 1, ""item_id"": 879}]","[[""80-90""], [""116-122""], [""134-150""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-35-2.php,"[""戦いで使うと地を這う炎が敵を焼き尽くす""]","2026-03-12 07:32:20","2026-03-12 07:32:20"
32,katateken_35_3,戦士の剣,,1,inherit,17,35,戦士の剣の物語,港町レンドア北C-6宿屋2階の本棚,戦士のために作られたシャープな剣,片手剣,片手剣,1,weapon_single,武器鍛冶_戦士の剣,戦士の剣,"[{""count"": 2, ""item_id"": 633}, {""count"": 1, ""item_id"": 732}, {""count"": 1, ""item_id"": 698}]","[[""100-108""], [""130-134""], [""74-90""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-35-1.php,"[""-""]","2026-03-12 07:32:23","2026-03-12 07:32:23"
33,katateken_28,ウェスタンレイピア,,1,inherit,16,28,ウェスタンレイピア伝記,バザーのみサマーウルフがドロップする,細身に作られた開拓精神あふれるイカした剣,片手剣,片手剣,1,weapon_single,武器鍛冶_ウェスタンレイピア,ウェスタンレイピア,"[{""count"": 1, ""item_id"": 633}, {""count"": 1, ""item_id"": 732}, {""count"": 1, ""item_id"": 845}]","[[""80-84""], [""80-92""], [""110-125""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-28-2.php,"[""-""]","2026-03-12 07:32:27","2026-03-12 07:32:27"
34,katateken_28_2,はがねのつるぎ,,1,inherit,14,28,作ろう！片手剣,グレン城・武器鍛冶ギルドのレシピ屋30G,コロシアムで威力を発揮するはがね製のの剣,片手剣,片手剣,1,weapon_single,武器鍛冶_はがねのつるぎ,はがねのつるぎ,"[{""count"": 1, ""item_id"": 633}, {""count"": 1, ""item_id"": 749}, {""count"": 1, ""item_id"": 810}]","[[""74-90""], [""80-85""], [""85-94""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-28-1.php,"[""試合時のみダメージ+10%""]","2026-03-12 07:32:29","2026-03-12 07:32:29"
35,katateken_21,バスタードソード,,1,inherit,12,21,バスタードソードの本,バザーのみバイキングソウルがドロップする,一人前の冒険者がよく使う切れ味するどい剣,片手剣,片手剣,1,weapon_single,武器鍛冶_バスタドソド,バスタードソード,"[{""count"": 1, ""item_id"": 633}, {""count"": 1, ""item_id"": 879}]","[[""90-95""], [""70-78""], [""50-67""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-21-2.php,"[""-""]","2026-03-12 07:32:32","2026-03-12 07:32:32"
36,katateken_21_2,ぎんのレイピア,,1,inherit,10,21,作ろう！片手剣,グレン城・武器鍛冶ギルドのレシピ屋30G,銀で作られたかっこいい細身の剣,片手剣,片手剣,1,weapon_single,武器鍛冶_ぎんのレイピア,ぎんのレイピア,"[{""count"": 1, ""item_id"": 633}, {""count"": 1, ""item_id"": 732}]","[[""50-55""], [""50-60""], [""80-95""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-21-1.php,"[""-""]","2026-03-12 07:32:34","2026-03-12 07:32:34"
37,katateken_14,さんぞくのサーベル,,1,inherit,9,14,作ろう！片手剣,グレン城・武器鍛冶ギルドのレシピ屋30G,山賊がよく使うシンプルな形のサーベル,片手剣,片手剣,1,weapon_single,武器鍛冶_さんぞくのサーベル,さんぞくのサーベル,"[{""count"": 1, ""item_id"": 732}, {""count"": 1, ""item_id"": 643}]","[[""45-52""], [""65-78""], [""50-60""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-14-2.php,"[""-""]","2026-03-12 07:32:36","2026-03-12 07:32:36"
38,katateken_14_2,てつのつるぎ,,1,inherit,7,14,作ろう！片手剣,グレン城・武器鍛冶ギルドのレシピ屋30G,コロシアムで威力を発揮する鉄で作られた剣,片手剣,片手剣,1,weapon_single,武器鍛冶_てつのつるぎ,てつのつるぎ,"[{""count"": 3, ""item_id"": 732}, {""count"": 1, ""item_id"": 749}]","[[""45-55""], [""50-62""], [""40-48""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-14-1.php,"[""試合時のみダメージ+5%""]","2026-03-12 07:32:39","2026-03-12 07:32:39"
39,katateken_7,せいどうのつるぎ,,1,inherit,3,7,作ろう！片手剣,グレン城・武器鍛冶ギルドのレシピ屋30G,青銅で作られたシンプルな剣,片手剣,片手剣,1,weapon_single,武器鍛冶_せいどうのつるぎ,せいどうのつるぎ,"[{""count"": 1, ""item_id"": 749}, {""count"": 1, ""item_id"": 732}]","[[""28-40""], [""32-44""], [""40-50""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-7-1.php,"[""-""]","2026-03-12 07:32:41","2026-03-12 07:32:41"
40,katateken_7_2,レイピア,,1,inherit,5,7,作ろう！片手剣,グレン城・武器鍛冶ギルドのレシピ屋30G,細身に作られたおしゃれな剣,片手剣,片手剣,1,weapon_single,武器鍛冶_レイピア,レイピア,"[{""count"": 1, ""item_id"": 732}, {""count"": 1, ""item_id"": 749}]","[[""30-35""], [""40-50""], [""50-65""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-7-2.php,"[""-""]","2026-03-12 07:32:44","2026-03-12 07:32:44"
41,katateken_1,どうのつるぎ,,1,inherit,1,1,はじめての武器鍛冶,グレン城・武器鍛冶ギルドのレシピ屋10G,銅で作られたありきたりな剣,片手剣,片手剣,1,weapon_single,武器鍛冶_どうのつるぎ,どうのつるぎ,"[{""count"": 1, ""item_id"": 749}]","[[""24-36""], [""28-40""], [""24-36""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-1-1.php,"[""-""]","2026-03-12 07:32:46","2026-03-12 07:32:46"
42,katateken_1_2,七夕の剣,,1,add,11,1,祭具・七夕の剣絵巻,以前のイベントで販売され、今はバザーのみ,晴れ呼びの儀に欠かせない霊力が宿る剣,片手剣,,,weapon,,七夕の剣,"[{""count"": 4, ""item_id"": 784}, {""count"": 12, ""item_id"": 775}]",,https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-1-2.php,"[""-""]","2026-03-12 07:32:48","2026-03-12 07:32:48"
43,taiken_132,ネビュラスブレード,,2,inherit,75,132,美しき星雲の世界,はじまりの地のレシピ屋クツツ1000000G,"行動時まれに テンションアップ 星々を冠した大剣",両手剣,両手剣,2,weapon_single,武器鍛冶_ネビュラスブレド,ネビュラスブレード,"[{""count"": 30, ""item_id"": 705}, {""count"": 4, ""item_id"": 799}, {""count"": 7, ""item_id"": 753}, {""count"": 20, ""item_id"": 821}, {""count"": 9, ""item_id"": 729}]","[[""220-228"", ""100-107""], [""95-102"", ""110-117""], [""120-127"", ""95-102""], [""190-198"", ""145-153""]]",https://draquex.com/buki/0-taiken.php,https://draquex.com/buki/taiken-132-1.php,"[""行動時1%でテンションアップ"", ""行動時5%でテンション消費なし""]","2026-03-12 07:32:54","2026-03-12 07:32:54"
