monster_name,list_page,monster_url,section,map_name,note,version,spawn_time,spawn_count,symbol_count,matched_recommend_keywords,has_recommend_keyword,matched_negative_keywords,has_negative_keyword,selection_reason
いっかくウサギ,1,https://dq100buster.wiki.fc2.com/wiki/%E3%81%84%E3%81%A3%E3%81%8B%E3%81%8F%E3%82%A6%E3%82%B5%E3%82%AE,フィールド,ランガーオ山地,ランガーオ村東やロンダの氷穴周辺、中部のD-3～E-5に生息。ロンダの氷穴周辺や中部で小山に密集しているものは1匹構成。それ以外は1～2匹でビッグハットがつく。,5.4,normal,1,,,False,,False,selected_clean_note_without_recommend_keyword
いっかくウサギ・強,26,https://dq100buster.wiki.fc2.com/wiki/%E3%81%84%E3%81%A3%E3%81%8B%E3%81%8F%E3%82%A6%E3%82%B5%E3%82%AE%E3%83%BB%E5%BC%B7,フィールド,ゲルヘナ幻野,南部の低地に広く生息しているが、ジャリムバハ砂漠の関所東の馬小屋周辺がシンボルも多く出現数も2～4匹と多いのでここ一択。砂漠の関所前では2～3匹構成でキメラ・強が混成する。岩穴の廃墟周辺は1～3匹構成。,5.5,normal,2～3,,,False,,False,selected_clean_note_without_recommend_keyword
うごくせきぞう,17,https://dq100buster.wiki.fc2.com/wiki/%E3%81%86%E3%81%94%E3%81%8F%E3%81%9B%E3%81%8D%E3%81%9E%E3%81%86,コンテンツエリア,その他の倒し方,てまねきリングやブラッドハンドに呼ばせたものをエモノ呼びで増やすのがかつての主流だった。魅了して、仲間を呼ばせ続ける方法もあったが、現在では非効率。なお、パラメータ(守備力)が高すぎると仲間を呼ばなくなるので、装備を外すなりサポや人数で調整を。,3.3,normal,1～2,,,False,,False,selected_clean_note_without_recommend_keyword
うみぼうず,16,https://dq100buster.wiki.fc2.com/wiki/%E3%81%86%E3%81%BF%E3%81%BC%E3%81%86%E3%81%9A,フィールド,真の海風の洞くつ,おすすめ。真レビュール街道北入口から真のグランゼドーラ城までの通路上にそこそこいる。2匹構成で、じめじめバブルに混成する。他の所のシンボルと違って移動する。地中ゴーグルの着用を忘れると踏んでしまう。,2.1,normal,2,,おすすめ,True,,False,selected_clean_note_with_recommend_keyword
えんまのつかい,13,https://dq100buster.wiki.fc2.com/wiki/%E3%81%88%E3%82%93%E3%81%BE%E3%81%AE%E3%81%A4%E3%81%8B%E3%81%84,コンテンツエリア,王家の迷宮,ノーマルやアナザーの10階に出現する。天地のかまえをされるとアンルシアの攻撃が封じられるので注意。,3.1,normal,1～2,,,False,,False,selected_clean_note_without_recommend_keyword
おおがらす,34,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%8A%E3%81%8C%E3%82%89%E3%81%99,フィールド,ジャリムバハ砂漠,ディンガの関所からザード遺跡までの範囲と、ディンガの関所～大甲虫の古巣までの範囲にシンボル多数。3～4匹構成。後者ではおおさそりのお供に現れることがある。,5.0,normal,3～4,,,False,,False,selected_clean_note_without_recommend_keyword
おおきづち,1,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%8A%E3%81%8D%E3%81%A5%E3%81%A1,フィールド,偽りの育みの大地,おすすめ。シンボルの湧き間隔が狭い上に即湧きで、いっかくウサギと混成ながら最大3匹構成までありうる。,2.2,normal,3,,おすすめ,True,,False,selected_clean_note_with_recommend_keyword
おおきづち・強,27,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%8A%E3%81%8D%E3%81%A5%E3%81%A1%E3%83%BB%E5%BC%B7,フィールド,グラデル台地,中～北部の高台に広く生息。大魔王顔壁付近が他シンボルが少なくおすすめ。3～4匹構成。,5.5,normal,3～4,,おすすめ,True,,False,selected_clean_note_with_recommend_keyword
おおきづち・祖,44,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%8A%E3%81%8D%E3%81%A5%E3%81%A1%E3%83%BB%E7%A5%96,フィールド,レストリア平野,飛行で行ける北西のラランブラ山道入口周辺の高台が他シンボルがおらずおすすめ。峠のほこら～西の橋を渡った先までや、東の橋を渡った先にもいる。いずれも2～3匹構成。,7.4,normal,2～3,,おすすめ,True,,False,selected_clean_note_with_recommend_keyword
おおくちばし,3,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%8A%E3%81%8F%E3%81%A1%E3%81%B0%E3%81%97,フィールド,グレン領西,グレン城下町～D-3のあいだに少数。1～2匹構成。どくろあらいにもつく。,5.4,normal,1～2,,,False,,False,selected_clean_note_without_recommend_keyword
おおくちばし・強,30,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%8A%E3%81%8F%E3%81%A1%E3%81%B0%E3%81%97%E3%83%BB%E5%BC%B7,フィールド,バルディア山岳地帯,F-5のトンネルを出たところからターボル峡谷にかけて生息。3匹構成。周囲のプリズニャン・強にもつく。,5.5,normal,3,,,False,,False,selected_clean_note_without_recommend_keyword
おおさそり,34,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%8A%E3%81%95%E3%81%9D%E3%82%8A,フィールド,ジャリムバハ砂漠,E2～ディンガの関所までの範囲と、ディンガの関所～大甲虫の古巣の範囲に出現。1～2匹構成で、前者はキメラ・強が、後者はおおがらすが混成することがある。,5.0,normal,1～2,,,False,,False,selected_clean_note_without_recommend_keyword
おどるほうせき,9,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%A9%E3%82%8B%E3%81%BB%E3%81%86%E3%81%9B%E3%81%8D,フィールド,氷晶の聖塔,開花の層G-4～5のところにたくさんのシンボル。1～3匹構成だが、BOT対策なのかスライムマデュラがくっついてくることがあるのでこれを倒せないとつらい。逃走不可なので注意しよう。,3.2,normal,1～3,,,False,,False,selected_clean_note_without_recommend_keyword
おどるほうせき・強,38,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%A9%E3%82%8B%E3%81%BB%E3%81%86%E3%81%9B%E3%81%8D%E3%83%BB%E5%BC%B7,フィールド,ザード遺跡,D5以南に広く分布。2～3匹構成。D5～E5の部屋など、机の下にシンボルが現れて戦えなくなる場所があるので、そうなったら別の場所にいこう。C8の部屋は継続して戦いやすい。,5.0,normal,2～3,,,False,,False,selected_clean_note_without_recommend_keyword
おにこぞう,3,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%AB%E3%81%93%E3%81%9E%E3%81%86,フィールド,ランガーオ山地,地域限定モンスター。 C-6とD-5の橋のあいだに生息。同じく地域限定のブラウニーも一緒に狩っておこう。,5.4,normal,,,,False,,False,selected_clean_note_without_recommend_keyword
おにこぞう・強,29,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%AB%E3%81%93%E3%81%9E%E3%81%86%E3%83%BB%E5%BC%B7,フィールド,バルディア山岳地帯,北西の川向うに生息。3匹構成。ベノムピードにもつく。,5.5,normal,3,,,False,,False,selected_clean_note_without_recommend_keyword
おにこんぼう,40,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%AB%E3%81%93%E3%82%93%E3%81%BC%E3%81%86,フィールド,偽りのロヴォス高地,偽レビュール街道北に通じる洞窟に3シンボルほど。シンボル同士は近い位置にいる。多いように見えるが狩ると涸れる。,2.4,normal,1,,,False,,False,selected_clean_note_without_recommend_keyword
おにびドングリ,38,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%AB%E3%81%B3%E3%83%89%E3%83%B3%E3%82%B0%E3%83%AA,フィールド,ムニエカ地方,ムニエカの町周辺に生息。3～4匹構成。 ムニエカの町南西の高台にもおり3匹構成。,7.4,normal,3～4,,,False,,False,selected_clean_note_without_recommend_keyword
おばけキノコ,34,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%B0%E3%81%91%E3%82%AD%E3%83%8E%E3%82%B3,フィールド,ガウシア樹海,入口付近に生息。入口北は同種のみ2～4匹構成。東に向かってトンネルまでのエリアは1～3匹構成でダックスビルが1匹くっついてくる。,5.2,normal,2～4,,,False,,False,selected_clean_note_without_recommend_keyword
おばけキノコ・祖,45,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%B0%E3%81%91%E3%82%AD%E3%83%8E%E3%82%B3%E3%83%BB%E7%A5%96,フィールド,レストリア平野,はじまりの地周辺に生息。他シンボルがいない高台がおすすめ。2～3匹構成。,7.4,normal,2～3,,おすすめ,True,,False,selected_clean_note_with_recommend_keyword
おばけキャンドル,2,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%B0%E3%81%91%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%89%E3%83%AB,フィールド,久遠の森,地域・夜限定モンスター。 入り口から世界樹の丘までの三叉路2か所、曲がり角2か所に湧く。 転生実装で湧きスピードがかなり速く調整されたらしく、3シンボルいる場所なら際限なく戦える。,6.0,normal,,,,False,,False,selected_clean_note_without_recommend_keyword
おばけトマト,10,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%B0%E3%81%91%E3%83%88%E3%83%9E%E3%83%88,フィールド,ランドンフット(過去),デッドペッカーやソードファントムと共に生息。ルーラポイントがマップ内にあり一度石を登録すればアクセスは悪くはないが、やはり過去であることが欠点か。,1.3,normal,1～2,,,False,,False,selected_clean_note_without_recommend_keyword
おばけヒトデ,4,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%B0%E3%81%91%E3%83%92%E3%83%88%E3%83%87,フィールド,ジュレー島下層,地域限定モンスター。ジュレー島下層大空洞にいる。 ぐんたいガニと一緒に。F3あたりが、水場が広くてシンボル数が多い。,1.1,normal,,,,False,,False,selected_clean_note_without_recommend_keyword
おばけヒトデ・強,32,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%81%B0%E3%81%91%E3%83%92%E3%83%88%E3%83%87%E3%83%BB%E5%BC%B7,フィールド,血潮の浜辺,鉄のほこら下りてすぐにシンボル。2～4匹構成でわかめ王子・強に1匹くっつくことも。C4のトンネルでは1～3匹構成でマリンスライム・強が1～2匹くっついてくる。E5付近ではぐんたいガニ・強と1～2匹混成するほか、ビッグファングにも一匹くっついてくる。,5.1,normal,2～4,,,False,,False,selected_clean_note_without_recommend_keyword
おむつっこり,1,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8A%E3%82%80%E3%81%A4%E3%81%A3%E3%81%93%E3%82%8A,フィールド,メギストリス領,町の近くは1匹湧き。風車の丘からエピステーサ丘陵に繋がる道沿いにいるシンボルは1～3匹出現するが、数はあまり多くない。,2.2,normal,1～2,,,False,,False,selected_clean_note_without_recommend_keyword
かいぞくウーパー,47,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8B%E3%81%84%E3%81%9E%E3%81%8F%E3%82%A6%E3%83%BC%E3%83%91%E3%83%BC,フィールド,キュロン丘陵,マップ南西と北西に生息。北西はウパソルジャーのシンボルもある。ウパソルジャーと混成の2～3匹構成。,7.4,normal,2～3,,,False,,False,selected_clean_note_without_recommend_keyword
かえんムカデ,16,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8B%E3%81%88%E3%82%93%E3%83%A0%E3%82%AB%E3%83%87,フィールド,偽アラハギーロ地方,北部と南部をつなぐ高台やデフェル荒野への出口付近に生息。1～2匹構成で混成はない。おすすめ。,2.4,normal,1～2,,おすすめ,True,,False,selected_clean_note_with_recommend_keyword
かげのきし,17,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8B%E3%81%92%E3%81%AE%E3%81%8D%E3%81%97,フィールド,ラニ大洞穴,おすすめ。昼夜問わず狩れる。1～2匹構成、奥部に生息。一番奥の部屋だとリビングデッドがいないため狩りやすい。,5.4,normal,1～2,,おすすめ,True,,False,selected_clean_note_with_recommend_keyword
かげのきし・祖,48,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8B%E3%81%92%E3%81%AE%E3%81%8D%E3%81%97%E3%83%BB%E7%A5%96,フィールド,創失のガナン帝国領,西エリア全域に生息。だいたい2～3匹構成。 暗黒の使いや、南西のキラーアーマー・祖にもつく。,7.5,normal,2～3,,,False,,False,selected_clean_note_without_recommend_keyword
かっちゅうアリ,17,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8B%E3%81%A3%E3%81%A1%E3%82%85%E3%81%86%E3%82%A2%E3%83%AA,コンテンツエリア,王家の迷宮,ノーマル6階や7階、9階に出現。6階では2シンボルが近くにいることが多い。7階ではドラゴンキッズと混成する。,3.2,normal,1,,,False,,False,selected_clean_note_without_recommend_keyword
かまいたち,47,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8B%E3%81%BE%E3%81%84%E3%81%9F%E3%81%A1,フィールド,キュロン丘陵,マップ南東～東に生息。2～3匹構成でおおがらすが混ざる。,7.4,normal,2～3,,,False,,False,selected_clean_note_without_recommend_keyword
からくりしょうぐん,19,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8B%E3%82%89%E3%81%8F%E3%82%8A%E3%81%97%E3%82%87%E3%81%86%E3%81%90%E3%82%93,コンテンツエリア,強戦士の書,おすすめ。怪蟲アラグネ強のお供で最初から2匹いる上、仲間呼びでも出てくる。こちらの個体はおうえんを使う。割合ダメージの死グモのトゲが強化される為危険。,5.4,normal,,,おすすめ,True,,False,selected_clean_note_with_recommend_keyword
からくりだいみょう,10,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8B%E3%82%89%E3%81%8F%E3%82%8A%E3%81%A0%E3%81%84%E3%81%BF%E3%82%87%E3%81%86,フィールド,捨てられた城,入口から城内にかけて生息。止まっているものは1匹、城前にうろついているものは1～2匹構成でイーブルフライと相互に混成する。からくりしょうぐんにも2匹つく。,5.4,normal,1～2,,,False,,False,selected_clean_note_without_recommend_keyword
がいこつ,10,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8C%E3%81%84%E3%81%93%E3%81%A4,フィールド,偽りのコニウェア平原,難破船の近くにそこそこの数。昼間にもいる。難破船の中のバイキングソウルに2匹までくっつくこともあり、ここはなかなかおすすめ。,2.0,normal,1～2,,おすすめ,True,,False,selected_clean_note_with_recommend_keyword
がいこつ・強,39,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8C%E3%81%84%E3%81%93%E3%81%A4%E3%83%BB%E5%BC%B7,フィールド,旧ネクロデア領,北門の石仮面以南～鉱山跡までの洞くつ～集落跡や、D6～C6にかけてシンボル。 F4までの地域でデスフラッターがまわりにいる場所は1～3匹構成でデスフラッターと混成し、しにがみきぞく・強がいるところは1～3匹構成、あやしいかげ・強にも2匹までくっついてくる。集落跡北西の洞くつ周辺は3～5匹構成。D6～C6は2～4匹構成でロードコープスやしにがみきぞく・強に1～3匹くっつく。 王都跡前でしにがみきぞく・強と一緒に討伐数増やすのがおすすめ。,5.1,normal,1～3,,おすすめ,True,,False,selected_clean_note_with_recommend_keyword
がいこつ・祖,48,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8C%E3%81%84%E3%81%93%E3%81%A4%E3%83%BB%E7%A5%96,フィールド,ムニエカ地方,結晶の森周辺～ムニエカの町西に生息。北西の高台に同シンボルのみの場所あり。2～3匹構成。,7.4,normal,2～3,,,False,,False,selected_clean_note_without_recommend_keyword
きせいじゅ,14,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8D%E3%81%9B%E3%81%84%E3%81%98%E3%82%85,フィールド,オーフィーヌ海底,迷いの海に大量のシンボル。2～3匹構成。アクセスも非常によいため、おすすめ。,3.4,normal,2～3,,おすすめ,True,,False,selected_clean_note_with_recommend_keyword
きめんどうし,28,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8D%E3%82%81%E3%82%93%E3%81%A9%E3%81%86%E3%81%97,フィールド,赤熱の荒野,煉獄の谷～聖都エジャルナにかかる橋までの広い範囲に出現。1～2匹構成でシンボルの数は申し分なし。,3.1,normal,1～2,,,False,,False,selected_clean_note_without_recommend_keyword
きりかぶこぞう,14,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8D%E3%82%8A%E3%81%8B%E3%81%B6%E3%81%93%E3%81%9E%E3%81%86,フィールド,偽りのワルド水源,"地域限定モンスター。三門の関所前、偽メルサンディ穀倉帯前、D-5,6にかなりの数。三門の関所前とメルサンディ穀倉帯前は1～2匹構成で、メルサンディ穀倉帯前ではサンダーフロッグが混成する。D-5,6では1～3匹構成で、ここでもサンダーフロッグが混成する。三門の関所前ではフォレストドラゴにくっつく。",2.2,normal,1～2,,,False,,False,selected_clean_note_without_recommend_keyword
きりさきピエロ,11,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8D%E3%82%8A%E3%81%95%E3%81%8D%E3%83%94%E3%82%A8%E3%83%AD,フィールド,レーナム緑野,地域限定･No.169(美容院ローズ色追加)クエ対象。 強敵エリアにいる。1～3匹構成でライノソルジャーが混成する。また、ライノソルジャーに1～2匹くっつく。,1.3,normal,1～3,,,False,,False,selected_clean_note_without_recommend_keyword
きりさきピエロ・強,39,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8D%E3%82%8A%E3%81%95%E3%81%8D%E3%83%94%E3%82%A8%E3%83%AD%E3%83%BB%E5%BC%B7,フィールド,ゲルヘナ幻野,グラデル台地前の広場と、ジャリムバハ関所付近にシンボル。前者は1～3匹構成でランタンこぞうがつく。後者は混成なしの2匹構成だが2シンボルしかいない。,5.5,normal,1～3,,,False,,False,selected_clean_note_without_recommend_keyword
くさった死体,9,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8F%E3%81%95%E3%81%A3%E3%81%9F%E6%AD%BB%E4%BD%93,フィールド,カミハルムイ領南,No.173(温泉解禁)クエ対象。 夜限定。堀より東に生息。C-6辺りにも少数。ベロベロと同じ湧き範囲。1～2匹構成。,5.4,normal,1～2,,,False,,False,selected_clean_note_without_recommend_keyword
くさった死体・強,38,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8F%E3%81%95%E3%81%A3%E3%81%9F%E6%AD%BB%E4%BD%93%E3%83%BB%E5%BC%B7,フィールド,旧ネクロデア領,集落跡の周辺にシンボル。3～4匹構成。集落跡の西側はさらにあやしいかげ・強が2匹までくっつき、6匹構成で出ることもある。C4～C6あたりではしにがみきぞく・強にくっつくほか、1～3匹構成でさらにボーンバット・強が1匹くっついてくることがある。また、鉱山跡まわりの高台では1～2匹構成、低地部分では3匹構成でしのどれい・強と互いに混成し、ロードコープスに1～2体くっつく。,5.2,normal,3～4,,,False,,False,selected_clean_note_without_recommend_keyword
くびかりぞく,32,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8F%E3%81%B3%E3%81%8B%E3%82%8A%E3%81%9E%E3%81%8F,フィールド,闇の辺獄,F-4にかけて多数のシンボル。F-6あたりは1～2匹構成。F-5あたりでは3匹構成。亡者のひとだまに2匹までくっつくことがある。,3.3,normal,1～2,,,False,,False,selected_clean_note_without_recommend_keyword
くびなが大師,35,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8F%E3%81%B3%E3%81%AA%E3%81%8C%E5%A4%A7%E5%B8%AB,フィールド,とこしえの氷原,北部の低地に出現する。シンボルはそこそこ。1～2匹構成のほか、スライムブレスがくっつくことも。また、つららスライムのお供に現れることもある。,3.2,normal,1～2,,,False,,False,selected_clean_note_without_recommend_keyword
くみひもこぞう,5,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8F%E3%81%BF%E3%81%B2%E3%82%82%E3%81%93%E3%81%9E%E3%81%86,フィールド,イナミノ街道,地域限定モンスター。山間の関所周辺に生息。1～2匹構成でどくやずきんが混成する。,5.4,normal,1～2,,,False,,False,selected_clean_note_without_recommend_keyword
くものきょじん,22,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8F%E3%82%82%E3%81%AE%E3%81%8D%E3%82%87%E3%81%98%E3%82%93,フィールド,偽アラハギーロ地方,地域限定・No.378(アラハギーロ完結篇3話)クエ対象南部の湖面上に分布。1匹構成。,2.0,normal,1,,,False,,False,selected_clean_note_without_recommend_keyword
くらやみハーピー,43,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8F%E3%82%89%E3%82%84%E3%81%BF%E3%83%8F%E3%83%BC%E3%83%94%E3%83%BC,フィールド,ガウシア樹海,入口からトンネルまでのエリアや、トポルの村西では同種のみ2～4匹構成。呪いの泉周辺は2～3匹構成で、パンプキッズ・強と互いに混成する。B-3のまかいじゅうにもつく。,5.2,normal,2～4,,,False,,False,selected_clean_note_without_recommend_keyword
くらやみ僧正,48,https://dq100buster.wiki.fc2.com/wiki/%E3%81%8F%E3%82%89%E3%82%84%E3%81%BF%E5%83%A7%E6%AD%A3,フィールド,断罪の剣,全域に生息。1～2匹構成。スケアフレイルのおともにもなる。,7.2,normal,1～2,,,False,,False,selected_clean_note_without_recommend_keyword
