id,name,name_en,color,effect,created_at,updated_at
81,果てなき攻撃呪文威力アップ,,風,発生手段を問わず、自分にかかる【攻撃呪文強化】の効果時間を延長,"2026-03-12 05:56:24","2026-03-12 05:56:24"
82,果てなき回復呪文威力アップ,,風,発生手段を問わず、自分にかかる【回復呪文強化】の効果時間を延長,"2026-03-12 05:56:24","2026-03-12 05:56:24"
83,禁断のMPアップ,,風,最大MP上昇（上段）＆最大HP低下（下段）,"2026-03-12 05:56:24","2026-03-12 05:56:24"
84,禁断のちからアップ,,風,ちから上昇（上段）＆みのまもり低下（下段）,"2026-03-12 05:56:24","2026-03-12 05:56:24"
85,禁断のおもさアップ,,風,おもさ上昇（上段）＆移動速度低下（下段）,"2026-03-12 05:56:24","2026-03-12 05:56:24"
86,禁断のこうげき魔力アップ,,風,攻撃魔力上昇（上段）＆最大HP低下（下段）,"2026-03-12 05:56:24","2026-03-12 05:56:24"
87,禁断のかいふく魔力アップ,,風,回復魔力上昇（上段）＆最大MP低下（下段）,"2026-03-12 05:56:24","2026-03-12 05:56:24"
88,禁断のHPアップ,,風,最大HP上昇（上段）＆最大MP低下（下段）,"2026-03-12 05:56:24","2026-03-12 05:56:24"
89,禁断のきようさアップ,,風,きようさ上昇（上段）＆すばやさ低下（下段）,"2026-03-12 05:56:24","2026-03-12 05:56:24"
90,始まりのヘナトス,,風,戦闘開始時、たまにランダムな敵1体に【攻撃力低下】1段階,"2026-03-12 05:56:24","2026-03-12 05:56:24"
91,始まりのルカニ,,風,戦闘開始時、たまにランダムな敵1体に【守備力低下】1段階,"2026-03-12 05:56:24","2026-03-12 05:56:24"
92,始まりのボミエ,,風,戦闘開始時、たまにランダムな敵1体に【行動間隔延長】1段階,"2026-03-12 05:56:24","2026-03-12 05:56:24"
93,始まりのぶきみなひかり,,風,戦闘開始時、たまにランダムな敵1体に【呪文耐性低下】1段階,"2026-03-12 05:56:24","2026-03-12 05:56:24"
94,始まりの重さダウン,,風,戦闘開始時、たまにランダムな敵1体に【おもさ減少】,"2026-03-12 05:56:24","2026-03-12 05:56:24"
95,始まりのラリホー,,風,戦闘開始時、たまにランダムな敵1体に【眠り】,"2026-03-12 05:56:24","2026-03-12 05:56:24"
96,始まりのチャージタイム短縮,,風,戦闘開始時、たまに自分にCT10秒短縮,"2026-03-12 05:56:24","2026-03-12 05:56:24"
97,始まりのバイシオン,,風,戦闘開始時、たまに自分に【攻撃力上昇】1段階,"2026-03-12 05:56:24","2026-03-12 05:56:24"
98,始まりの聖女の守り,,風,戦闘開始時、たまに自分に【聖女の守り】,"2026-03-12 05:56:24","2026-03-12 05:56:24"
99,始まりのキラキラポーン,,風,戦闘開始時、たまに自分に【キラキラポーン】,"2026-03-12 05:56:24","2026-03-12 05:56:24"
100,始まりの移動速度アップ,,風,戦闘開始時、たまに自分に移動速度50%アップ,"2026-03-12 05:56:24","2026-03-12 05:56:24"
101,始まりのHPアップ,,風,戦闘開始時、たまに自分に最大HP50アップ,"2026-03-12 05:56:24","2026-03-12 05:56:24"
102,メラ系呪文の瞬き,,風,【メラ系】呪文の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
103,ヒャド系呪文の瞬き,,風,【ヒャド系】呪文の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
104,イオ系呪文の瞬き,,風,【イオ系】呪文の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
105,バギ系呪文の瞬き,,風,【バギ系】呪文の詠唱速度上昇（【コーラルレイン】【メイルストロム】も含む）,"2026-03-12 05:56:24","2026-03-12 05:56:24"
106,ドルマ系呪文の瞬き,,風,【ドルマ系】呪文の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
107,ギラ系呪文の瞬き,,風,【ギラ系】呪文の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
108,ドガン系呪文の瞬き,,風,【ドガン系】呪文の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
109,ジバ系呪文の瞬き,,風,【ジバリア系】呪文の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
110,マダンテの瞬き,,風,【マダンテ】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
111,マホトラの瞬き,,風,【マホトラ】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
112,ホイミ系呪文の瞬き,,風,【ホイミ系】呪文の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
113,ザオの瞬き,,風,【ザオ】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
114,ザオラルの瞬き,,風,【ザオラル】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
115,ザオリクの瞬き,,風,【ザオリク】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
116,バイキルト系呪文の瞬き,,風,【バイシオン】【バイキルト】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
117,スカラ系呪文の瞬き,,風,【スカラ】【スクルト】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
118,ピオラ系呪文の瞬き,,風,【ピオラ】【ピオリム】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
119,フバーハ系呪文の瞬き,,風,【バーハ】【フバーハ】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
120,マジックバリアの瞬き,,風,【マジックバリア】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
121,ズッシードの瞬き,,風,【ズッシード】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
122,マホカンタ系呪文の瞬き,,風,【マホターン】【マホカンタ】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
123,マホキテの瞬き,,風,【マホキテ】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
124,ヘナトス系の瞬き,,風,【ヘナトス】【ヘナトール】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
125,ルカニ系呪文の瞬き,,風,【ルカニ】【ルカナン】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
126,ボミエ系呪文の瞬き,,風,【ボミエ】【ボミオス】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
127,ディバインスペルの瞬き,,風,【ディバインスペル】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
128,ラリホー系呪文の瞬き,,風,【ラリホー】【ラリホーマ】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
129,メダパニ系呪文の瞬き,,風,【メダパニ】【メダパニーマ】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
130,マホトーンの瞬き,,風,【マホトーン】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
131,マヌーサの瞬き,,風,【マヌーサ】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
132,ヴェレ系の瞬き,,風,【ヴェレ】【ヴェレーノ】【ヴェレノーマ】の詠唱速度上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
133,奇跡の会心攻撃,,風,会心の一撃・呪文暴走時のダメージ上昇,"2026-03-12 05:56:24","2026-03-12 05:56:24"
134,打たれ名人,,風,【被ダメージ軽減】,"2026-03-12 05:56:24","2026-03-12 05:56:24"
135,勝ちどきMP回復,,風,敵を倒すとMP回復,"2026-03-12 05:56:24","2026-03-12 05:56:24"
136,気まぐれな追撃,,風,CT技以外の呪文・特技使用時、たまに2回行動,"2026-03-12 05:56:24","2026-03-12 05:56:24"
137,共鳴のテンションアップ,,風,仲間のテンションアップ時たまに自分のテンションもアップ,"2026-03-12 05:56:24","2026-03-12 05:56:24"
138,終わりのHP回復,,風,戦闘終了時、自分のHP回復,"2026-03-12 05:56:24","2026-03-12 05:56:24"
139,メラ系とギラ系呪文の極意,,光,【メラ系】【ギラ系】呪文のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
140,メラ系とギラ系呪文の真髄,,光,メラ系・ギラ系呪文のテンションアップ時ダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
141,ヒャド系呪文の極意,,光,【ヒャド系】呪文のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
142,ヒャド系呪文の真髄,,光,ヒャド系呪文のテンションアップ時ダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
143,イオ系呪文の極意,,光,【イオ系】呪文のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
144,イオ系呪文の真髄,,光,イオ系呪文のテンションアップ時ダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
145,バギ系呪文の極意,,光,【バギ系】呪文のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
146,バギ系呪文の真髄,,光,バギ系呪文のテンションアップ時ダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
147,ドルマ系呪文の極意,,光,【ドルマ系】呪文のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
148,ドルマ系呪文の真髄,,光,ドルマ系呪文のテンションアップ時ダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
149,ドガン系とジバ系呪文の極意,,光,【ドガン系】【ジバリア系】呪文のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
150,ドガン系呪文の真髄,,光,ドガン系呪文のテンションアップ時ダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
151,マダンテの極意,,光,【マダンテ】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
152,戦士の閃き,,光,戦士である間、必殺チャージ率上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
153,会心必中の極意,,光,【会心必中】のダメージ上昇（Ver.5.1まではLv1につき3%）,"2026-03-12 05:56:27","2026-03-12 05:56:27"
154,かばうの極意,,光,【かばう】中、さらに固定値で被ダメージ軽減,"2026-03-12 05:56:27","2026-03-12 05:56:27"
155,ロストアタックの極意,,光,【ロストアタック】のダメージ上昇（Ver.3.0前期まではLv1につき5%）,"2026-03-12 05:56:27","2026-03-12 05:56:27"
156,たいあたりの極意,,光,【たいあたり】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
157,やいばくだきの極意,,光,【やいばくだき】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
158,チャージタックルの極意,,光,【チャージタックル】のダメージ上昇（Ver.3.0前期まではLv1につき3%）,"2026-03-12 05:56:27","2026-03-12 05:56:27"
159,真・やいばくだきの極意,,光,【真・やいばくだき】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
160,真・やいばくだきの技巧,,光,真・やいばくだきの成功率上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
161,僧侶の閃き,,光,僧侶である間、必殺チャージ率上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
162,おはらいの瞬き,,光,【おはらい】の発動速度上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
163,果てなきマホトラのころも,,光,【マホトラのころも】の効果時間延長（Ver.5.1まではLv1につき3秒）,"2026-03-12 05:56:27","2026-03-12 05:56:27"
164,聖女の守りの瞬き,,光,【聖女の守り】の発動速度上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
165,天使の守りの瞬き,,光,【天使の守り】の発動速度上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
166,ホーリーライトの極意,,光,【ホーリーライト】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
167,魔法使いの閃き,,光,魔法使いである間、必殺チャージ率上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
168,メドローアの極意,,光,【メドローア】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
169,ぶきみなひかりの瞬き,,光,【ぶきみなひかり】の発動速度上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
170,ぶきみなひかりの技巧,,光,ぶきみなひかりの成功率上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
171,魔力かくせいの瞬き,,光,【魔力かくせい】の発動速度上昇魔使・スパ・竜術で共用可能,"2026-03-12 05:56:27","2026-03-12 05:56:27"
172,果てなき超魔力かくせい,,光,【超魔力かくせい】【ミラクルゾーン】による【呪文ダメージ限界突破】の効果時間延長,"2026-03-12 05:56:27","2026-03-12 05:56:27"
173,武闘家の閃き,,光,武闘家である間、必殺チャージ率上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
174,一喝の極意,,光,【一喝】使用時、たまにさらに1段階テンションアップ（Ver.5.1まではLv1につき3%）,"2026-03-12 05:56:27","2026-03-12 05:56:27"
175,崩命拳の極意,,光,【崩命拳】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
176,ためるの極意,,光,【ためる】使用時、たまにさらに1段階テンションアップ,"2026-03-12 05:56:27","2026-03-12 05:56:27"
177,心頭滅却の瞬き,,光,【心頭滅却】の発動速度上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
178,おたけびの技巧,,光,【おたけび】の成功率上昇（Ver.3.0前期まではLv1につき2%）,"2026-03-12 05:56:27","2026-03-12 05:56:27"
179,おたけびの戦域,,光,おたけびの範囲拡大,"2026-03-12 05:56:27","2026-03-12 05:56:27"
180,めいそうの奇跡,,光,【めいそう】の回復量上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
181,ためる弐の極意,,光,【ためる弐】使用時、たまにさらに1段階テンションアップ,"2026-03-12 05:56:27","2026-03-12 05:56:27"
182,無念無想の奇跡,,光,【無念無想】のMP回復量上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
183,ためる参の極意,,光,【ためる参】使用時、たまにさらに1段階テンションアップ,"2026-03-12 05:56:27","2026-03-12 05:56:27"
184,打成一片の極意,,光,【打成一片】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
185,盗賊の閃き,,光,盗賊である間、必殺チャージ率上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
186,お宝ハンターの極意,,光,【お宝ハンター】のダメージが固定値で上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
187,ファントムハックの極意,,光,【ファントムハック】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
188,サプライズラッシュの極意,,光,【サプライズラッシュ】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
189,サプライズラッシュの技巧,,光,サプライズラッシュの成功率上昇（Ver.5.1まではLv1につき1%）,"2026-03-12 05:56:27","2026-03-12 05:56:27"
190,ネバネバ爆弾の戦域,,光,【ネバネバ爆弾】の範囲拡大,"2026-03-12 05:56:27","2026-03-12 05:56:27"
191,旅芸人の閃き,,光,旅芸人である間、必殺チャージ率上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
192,トリックゾーンの極意,,光,【トリックゾーン】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
193,ボケの技巧,,光,【ボケ】の成功率上昇（Ver.3.0前期まではLv1につき2%）,"2026-03-12 05:56:27","2026-03-12 05:56:27"
194,果てなきタップダンス,,光,【タップダンス】の効果時間延長（Ver.5.1まではLv1につき3秒）,"2026-03-12 05:56:27","2026-03-12 05:56:27"
195,キラージャグリングの極意,,光,【キラージャグリング】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
196,ハッスルダンスの奇跡,,光,【ハッスルダンス】の回復量上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
197,ハッスルダンスの戦域,,光,ハッスルダンスの範囲拡大,"2026-03-12 05:56:27","2026-03-12 05:56:27"
198,ゴッドジャグリングの極意,,光,【ゴッドジャグリング】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
199,たたかいのビートの戦域,,光,【たたかいのビート】の範囲拡大,"2026-03-12 05:56:27","2026-03-12 05:56:27"
200,いやしのメロディの戦域,,光,【いやしのメロディ】の範囲拡大,"2026-03-12 05:56:27","2026-03-12 05:56:27"
201,バトルマスターの閃き,,光,バトルマスターである間、必殺チャージ率上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
202,ラッシュバーンの極意,,光,【ラッシュバーン】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
203,とうこん討ちの極意,,光,【とうこん討ち】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
204,もろば斬りの極意,,光,【もろば斬り】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
205,無心こうげきの極意,,光,【無心こうげき】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
206,天下無双の極意,,光,【天下無双】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
207,果てなきテンションバーン,,光,【テンションバーン】の効果時間延長,"2026-03-12 05:56:27","2026-03-12 05:56:27"
208,果てなきミラクルブースト,,光,【ミラクルブースト】の効果時間延長,"2026-03-12 05:56:27","2026-03-12 05:56:27"
209,古今無双の極意,,光,【古今無双】のダメージ上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
210,パラディンの閃き,,光,パラディンである間、必殺チャージ率上昇,"2026-03-12 05:56:27","2026-03-12 05:56:27"
211,果てなきパラディンガード,,光,【パラディンガード】の効果時間延長,"2026-03-12 05:56:27","2026-03-12 05:56:27"
212,果てなき聖光の鎧,,光,【聖光の鎧】の効果時間延長,"2026-03-12 05:56:27","2026-03-12 05:56:27"
